Champ1,Champ2,Champ3,Champ4,Champ5,Games,Wins
MonkeyKing,Taliyah,,,,140,66
Hwei,MonkeyKing,,,,289,158
Jhin,MonkeyKing,,,,1160,605
Karma,MonkeyKing,,,,399,205
Hwei,Taliyah,,,,59,28
Jhin,Taliyah,,,,653,311
Karma,Taliyah,,,,277,138
Hwei,Jhin,,,,1248,626
Hwei,Karma,,,,394,179
Jhin,Karma,,,,2359,1171
Aatrox,Zed,,,,1176,544
Aatrox,Qiyana,,,,232,101
Aatrox,Kaisa,,,,2318,1155
Aatrox,Nautilus,,,,1138,567
Qiyana,Zed,,,,136,65
Kaisa,Zed,,,,3162,1514
Nautilus,Zed,,,,1442,699
Kaisa,Qiyana,,,,635,287
Nautilus,Qiyana,,,,265,120
Kaisa,Nautilus,,,,4235,2029
Leblanc,Shen,,,,388,194
DrMundo,Shen,,,,202,97
Kaisa,Shen,,,,1100,521
Rell,Shen,,,,181,94
DrMundo,Leblanc,,,,539,269
Kaisa,Leblanc,,,,1714,758
Leblanc,Rell,,,,315,145
DrMundo,Kaisa,,,,1303,633
DrMundo,Rell,,,,284,153
Kaisa,Rell,,,,1400,693
Evelynn,Yone,,,,647,330
Viktor,Yone,,,,802,385
Samira,Yone,,,,996,496
Seraphine,Yone,,,,1300,630
Evelynn,Viktor,,,,186,89
Evelynn,Samira,,,,181,96
Evelynn,Seraphine,,,,191,93
Samira,Viktor,,,,439,222
Seraphine,Viktor,,,,479,233
Samira,Seraphine,,,,226,107
Pantheon,Skarner,,,,115,45
Kaisa,Skarner,,,,245,110
Nautilus,Skarner,,,,93,35
Nidalee,Pantheon,,,,417,182
Kaisa,Nidalee,,,,833,371
Nautilus,Nidalee,,,,427,190
Kaisa,Pantheon,,,,2612,1246
Nautilus,Pantheon,,,,767,375
Gragas,Graves,,,,274,136
Gragas,Kassadin,,,,63,29
Gragas,MissFortune,,,,805,400
Braum,Gragas,,,,313,177
Graves,Kassadin,,,,117,52
Graves,MissFortune,,,,1064,536
Braum,Graves,,,,405,193
Kassadin,MissFortune,,,,411,205
Braum,Kassadin,,,,131,60
Braum,MissFortune,,,,986,497
Garen,Talon,,,,584,272
Akali,Garen,,,,1012,525
Garen,Varus,,,,1017,510
Garen,Karma,,,,880,448
Akali,Talon,,,,522,246
Talon,Varus,,,,698,343
Karma,Talon,,,,577,287
Akali,Varus,,,,971,451
Akali,Karma,,,,769,371
Karma,Varus,,,,1012,508
Rengar,Yorick,,,,229,105
Naafiri,Yorick,,,,1048,555
Jhin,Yorick,,,,3272,1838
Elise,Yorick,,,,416,230
Naafiri,Rengar,,,,126,56
Jhin,Rengar,,,,678,318
Elise,Rengar,,,,69,39
Jhin,Naafiri,,,,2801,1468
Elise,Naafiri,,,,297,151
Elise,Jhin,,,,1027,491
Shen,Taliyah,,,,184,88
Rumble,Shen,,,,74,33
Jhin,Shen,,,,1209,615
Bard,Shen,,,,162,82
Rumble,Taliyah,,,,61,29
Bard,Taliyah,,,,106,52
Jhin,Rumble,,,,664,334
Bard,Rumble,,,,91,45
Bard,Jhin,,,,1015,570
MonkeyKing,Mordekaiser,,,,418,223
Mordekaiser,Zed,,,,1618,820
Ashe,Mordekaiser,,,,1415,718
Mordekaiser,Sona,,,,415,233
MonkeyKing,Zed,,,,435,210
Ashe,MonkeyKing,,,,614,317
MonkeyKing,Sona,,,,180,95
Ashe,Zed,,,,1604,753
Sona,Zed,,,,408,205
Ashe,Sona,,,,443,247
Vayne,Zed,,,,1348,666
Diana,Vayne,,,,1128,604
Seraphine,Vayne,,,,636,331
Thresh,Vayne,,,,1238,614
Diana,Zed,,,,1166,571
Seraphine,Zed,,,,830,377
Thresh,Zed,,,,1835,913
Diana,Seraphine,,,,669,340
Diana,Thresh,,,,1450,768
Seraphine,Thresh,,,,75,35
Camille,Shyvana,,,,89,36
Camille,Lissandra,,,,107,46
Camille,Sivir,,,,149,84
Camille,Lulu,,,,421,225
Lissandra,Shyvana,,,,80,47
Shyvana,Sivir,,,,115,63
Lulu,Shyvana,,,,266,124
Lissandra,Sivir,,,,153,79
Lissandra,Lulu,,,,454,226
Lulu,Sivir,,,,684,344
Camille,Rengar,,,,95,41
Camille,Katarina,,,,228,106
Camille,Jinx,,,,673,328
Braum,Camille,,,,201,105
Katarina,Rengar,,,,246,108
Jinx,Rengar,,,,621,267
Braum,Rengar,,,,175,100
Jinx,Katarina,,,,1471,721
Braum,Katarina,,,,429,211
Braum,Jinx,,,,1509,834
Ahri,MonkeyKing,,,,794,417
Ahri,Qiyana,,,,118,55
Ahri,Jhin,,,,3715,1917
Ahri,Zilean,,,,395,203
MonkeyKing,Qiyana,,,,95,48
MonkeyKing,Zilean,,,,135,81
Jhin,Qiyana,,,,549,267
Qiyana,Zilean,,,,63,31
Jhin,Zilean,,,,852,445
Akali,Skarner,,,,155,62
Akali,Yone,,,,991,480
Akali,Zeri,,,,376,195
Skarner,Yone,,,,218,96
Skarner,Zeri,,,,49,20
Garen,Skarner,,,,121,47
Yone,Zeri,,,,631,318
Garen,Yone,,,,1271,609
Garen,Zeri,,,,395,211
Gnar,Shyvana,,,,96,51
Gnar,Orianna,,,,220,100
Gnar,Samira,,,,204,90
Gnar,Renata,,,,69,37
Orianna,Shyvana,,,,96,44
Samira,Shyvana,,,,159,88
Renata,Shyvana,,,,36,20
Orianna,Samira,,,,258,140
Orianna,Renata,,,,78,30
Renata,Samira,,,,104,68
Rengar,Shen,,,,155,74
Annie,Shen,,,,169,81
Ezreal,Shen,,,,969,451
Mel,Shen,,,,698,335
Annie,Rengar,,,,96,47
Ezreal,Rengar,,,,499,220
Mel,Rengar,,,,426,195
Annie,Ezreal,,,,577,294
Annie,Mel,,,,213,101
Ezreal,Mel,,,,2442,1089
Garen,Sylas,,,,1411,681
Garen,Leblanc,,,,1039,478
Ashe,Garen,,,,1649,811
Garen,Seraphine,,,,903,484
Leblanc,Sylas,,,,410,178
Ashe,Sylas,,,,1810,873
Seraphine,Sylas,,,,732,361
Ashe,Leblanc,,,,1099,512
Leblanc,Seraphine,,,,502,253
Ashe,Seraphine,,,,1432,695
FiddleSticks,Gangplank,,,,237,106
AurelionSol,Gangplank,,,,145,61
Gangplank,Kaisa,,,,1079,517
Akali,Gangplank,,,,402,208
AurelionSol,FiddleSticks,,,,163,90
FiddleSticks,Kaisa,,,,1070,560
Akali,FiddleSticks,,,,400,193
AurelionSol,Kaisa,,,,593,281
Akali,AurelionSol,,,,92,37
Akali,Kaisa,,,,1919,943
Quinn,Talon,,,,196,108
Nunu,Quinn,,,,145,66
MissFortune,Quinn,,,,753,379
Quinn,Rakan,,,,153,81
Nunu,Talon,,,,138,71
MissFortune,Talon,,,,1118,555
