Name,Role,Opponent,Games,Wins,Losses,WR
Sett,TOP,Malphite,645,326,319,50.54
Sett,TOP,Ekko,679,367,312,54.05
Sett,TOP,Hwei,639,356,283,55.71
Sett,TOP,Lucian,496,283,213,57.06
Sett,TOP,Maokai,450,223,227,49.56
Sett,TOP,Yorick,708,290,418,40.96
Sett,TOP,Viego,1117,641,476,57.39
Sett,TOP,Diana,1168,593,575,50.77
Sett,TOP,Seraphine,953,522,431,54.77
Sett,TOP,Rakan,464,242,222,52.16
Sett,TOP,Gwen,611,384,227,62.85
Sett,TOP,JarvanIV,313,161,152,51.44
Sett,TOP,Yone,1923,1011,912,52.57
Sett,TOP,Zyra,545,267,278,48.99
Sett,TOP,Kayle,605,315,290,52.07
Sett,TOP,MonkeyKing,391,207,184,52.94
Sett,TOP,RekSai,71,48,23,67.61
Sett,TOP,Warwick,1497,739,758,49.37
Sett,TOP,Briar,876,483,393,55.14
Sett,TOP,Yasuo,1612,799,813,49.57
Sett,TOP,Irelia,797,419,378,52.57
Sett,TOP,Lux,2443,1249,1194,51.13
Sett,TOP,Pantheon,1427,753,674,52.77
Sett,TOP,Kayn,1412,782,630,55.38
Sett,TOP,Leblanc,239,120,119,50.21
Sett,TOP,Sivir,392,166,226,42.35
Sett,TOP,Pyke,1041,568,473,54.56
Sett,TOP,Braum,364,185,179,50.82
Sett,TOP,XinZhao,454,209,245,46.04
Sett,TOP,Chogath,1288,746,542,57.92
Sett,TOP,Taliyah,237,115,122,48.52
Sett,TOP,Darius,1812,963,849,53.15
Sett,TOP,Volibear,971,438,533,45.11
Sett,TOP,Ezreal,1286,712,574,55.37
Sett,TOP,Brand,609,324,285,53.2
Sett,TOP,Singed,212,117,95,55.19
Sett,TOP,Ryze,239,119,120,49.79
Sett,TOP,Samira,903,518,385,57.36
Sett,TOP,Soraka,456,226,230,49.56
Sett,TOP,KSante,323,193,130,59.75
Sett,TOP,Azir,344,166,178,48.26
Sett,TOP,Aphelios,520,320,200,61.54
Sett,TOP,Gnar,392,201,191,51.28
Sett,TOP,Nunu,682,407,275,59.68
Sett,TOP,Jhin,1476,776,700,52.57
Sett,TOP,Shaco,872,463,409,53.1
Sett,TOP,Ahri,1229,666,563,54.19
Sett,TOP,Ashe,1553,788,765,50.74
Sett,TOP,Poppy,509,289,220,56.78
Sett,TOP,Nami,878,477,401,54.33
Sett,TOP,Mel,1694,895,799,52.83
Sett,TOP,Tristana,866,440,426,50.81
Sett,TOP,Camille,302,147,155,48.68
Sett,TOP,MasterYi,1036,553,483,53.38
Sett,TOP,LeeSin,755,423,332,56.03
Sett,TOP,Riven,398,215,183,54.02
Sett,TOP,Jax,712,398,314,55.9
Sett,TOP,Naafiri,390,199,191,51.03
Sett,TOP,MissFortune,1911,943,968,49.35
Sett,TOP,Nocturne,745,376,369,50.47
Sett,TOP,Aatrox,899,483,416,53.73
Sett,TOP,Swain,875,365,510,41.71
Sett,TOP,Jinx,1674,871,803,52.03
Sett,TOP,Ambessa,553,311,242,56.24
Sett,TOP,Nilah,510,307,203,60.2
Sett,TOP,Kled,166,110,56,66.27
Sett,TOP,Leona,693,349,344,50.36
Sett,TOP,Fiora,426,257,169,60.33
Sett,TOP,Elise,491,294,197,59.88
Sett,TOP,Garen,1192,538,654,45.13
Sett,TOP,Senna,688,393,295,57.12
Sett,TOP,Illaoi,515,246,269,47.77
Sett,TOP,Sylas,785,417,368,53.12
Sett,TOP,Kindred,572,327,245,57.17
Sett,TOP,Teemo,1016,503,513,49.51
Sett,TOP,Mordekaiser,1532,719,813,46.93
Sett,TOP,Sejuani,343,193,150,56.27
Sett,TOP,Alistar,284,133,151,46.83
Sett,TOP,Lulu,636,371,265,58.33
Sett,TOP,DrMundo,678,303,375,44.69
Sett,TOP,Viktor,608,286,322,47.04
Sett,TOP,Jayce,330,195,135,59.09
Sett,TOP,Skarner,271,150,121,55.35
Sett,TOP,TahmKench,904,489,415,54.09
Sett,TOP,Veigar,820,434,386,52.93
Sett,TOP,Karma,546,268,278,49.08
Sett,TOP,Talon,565,316,249,55.93
Sett,TOP,Evelynn,391,193,198,49.36
Sett,TOP,Kaisa,1118,589,529,52.68
Sett,TOP,Taric,198,94,104,47.47
Sett,TOP,Aurora,783,486,297,62.07
Sett,TOP,Zeri,372,192,180,51.61
Sett,TOP,Vayne,814,397,417,48.77
Sett,TOP,Malzahar,703,306,397,43.53
Sett,TOP,Draven,485,264,221,54.43
Sett,TOP,Vex,533,256,277,48.03
Sett,TOP,Gragas,513,287,226,55.95
Sett,TOP,Nautilus,928,508,420,54.74
Sett,TOP,Caitlyn,2138,1163,975,54.4
Sett,TOP,Yuumi,912,482,430,52.85
Sett,TOP,Rumble,169,86,83,50.89
Sett,TOP,Akshan,233,127,106,54.51
Sett,TOP,Sona,293,149,144,50.85
Sett,TOP,Morgana,1062,485,577,45.67
Sett,TOP,Ziggs,390,212,178,54.36
Sett,TOP,Kalista,378,196,182,51.85
Sett,TOP,Akali,882,497,385,56.35
Sett,TOP,Zed,796,463,333,58.17
Sett,TOP,Shen,572,291,281,50.87
Sett,TOP,Khazix,497,255,242,51.31
Sett,TOP,Varus,742,370,372,49.87
Sett,TOP,Thresh,995,559,436,56.18
Sett,TOP,Blitzcrank,625,333,292,53.28
Sett,TOP,Anivia,349,177,172,50.72
Sett,TOP,Annie,304,207,97,68.09
Sett,TOP,Bard,301,156,145,51.83
Sett,TOP,Kennen,351,201,150,57.26
Sett,TOP,Gangplank,268,169,99,63.06
Sett,TOP,Qiyana,311,218,93,70.1
Sett,TOP,Zoe,341,209,132,61.29
Sett,TOP,Ivern,199,107,92,53.77
Sett,TOP,Twitch,668,372,296,55.69
Sett,TOP,Milio,428,218,210,50.93
Sett,TOP,Rell,540,268,272,49.63
Sett,TOP,TwistedFate,325,189,136,58.15
Sett,TOP,Vladimir,439,250,189,56.95
Sett,TOP,FiddleSticks,493,232,261,47.06
Sett,TOP,Urgot,464,232,232,50
Sett,TOP,Hecarim,258,151,107,58.53
Sett,TOP,Zilean,260,145,115,55.77
Sett,TOP,Shyvana,242,135,107,55.79
Sett,TOP,Smolder,682,410,272,60.12
Sett,TOP,Neeko,599,387,212,64.61
Sett,TOP,Heimerdinger,517,243,274,47
Sett,TOP,Fizz,389,199,190,51.16
Sett,TOP,Zac,275,150,125,54.55
Sett,TOP,Katarina,865,477,388,55.14
Sett,TOP,Syndra,435,209,226,48.05
Sett,TOP,Udyr,294,163,131,55.44
Sett,TOP,Xayah,589,337,252,57.22
Sett,TOP,Vi,776,360,416,46.39
Sett,TOP,Tryndamere,461,248,213,53.8
Sett,TOP,Orianna,327,184,143,56.27
Sett,TOP,Kassadin,169,61,108,36.09
Sett,TOP,Karthus,253,132,121,52.17
Sett,TOP,Cassiopeia,316,168,148,53.16
Sett,TOP,Galio,579,271,308,46.8
Sett,TOP,Sion,664,353,311,53.16
Sett,TOP,Rengar,393,254,139,64.63
Sett,TOP,Corki,234,144,90,61.54
Sett,TOP,Renekton,459,278,181,60.57
Sett,TOP,Xerath,685,367,318,53.58
Sett,TOP,Nasus,649,287,362,44.22
Sett,TOP,Trundle,474,221,253,46.62
Sett,TOP,Graves,456,246,210,53.95
Sett,TOP,Lillia,499,242,257,48.5
Sett,TOP,Quinn,316,188,128,59.49
Sett,TOP,Ornn,362,203,159,56.08
Sett,TOP,Rammus,253,123,130,48.62
Sett,TOP,Amumu,906,406,500,44.81
Sett,TOP,AurelionSol,396,180,216,45.45
Sett,TOP,Lissandra,197,95,102,48.22
Sett,TOP,Olaf,182,102,80,56.04
Sett,TOP,Nidalee,172,86,86,50
Sett,TOP,Renata,135,89,46,65.93
Sett,TOP,Janna,202,111,91,54.95
Sett,TOP,Velkoz,532,277,255,52.07
Sett,TOP,KogMaw,259,131,128,50.58
Sett,TOP,Belveth,282,173,109,61.35
Sett,JUNGLE,Fiora,12,3,9,25
Sett,JUNGLE,Kayn,54,44,10,81.48
Sett,JUNGLE,Malzahar,25,12,13,48
Sett,JUNGLE,Aphelios,24,8,16,33.33
Sett,JUNGLE,Zilean,12,3,9,25
Sett,JUNGLE,Cassiopeia,20,13,7,65
Sett,JUNGLE,Shaco,55,25,30,45.45
Sett,JUNGLE,Riven,31,24,7,77.42
Sett,JUNGLE,Caitlyn,38,24,14,63.16
Sett,JUNGLE,Senna,37,23,14,62.16
Sett,JUNGLE,Teemo,63,30,33,47.62
Sett,JUNGLE,Rammus,13,10,3,76.92
Sett,JUNGLE,Fizz,15,3,12,20
Sett,JUNGLE,DrMundo,20,9,11,45
Sett,JUNGLE,TahmKench,48,30,18,62.5
Sett,JUNGLE,Sejuani,11,5,6,45.45
Sett,JUNGLE,Sylas,46,24,22,52.17
Sett,JUNGLE,Ashe,68,34,34,50
Sett,JUNGLE,Lux,93,47,46,50.54
Sett,JUNGLE,Poppy,14,3,11,21.43
Sett,JUNGLE,Gragas,10,10,0,100
Sett,JUNGLE,Annie,15,8,7,53.33
Sett,JUNGLE,Yasuo,83,35,48,42.17
Sett,JUNGLE,Nautilus,38,20,18,52.63
Sett,JUNGLE,Camille,3,0,3,0
Sett,JUNGLE,Yorick,30,17,13,56.67
Sett,JUNGLE,Jinx,71,36,35,50.7
Sett,JUNGLE,Braum,3,0,3,0
Sett,JUNGLE,Malphite,21,10,11,47.62
Sett,JUNGLE,Warwick,62,17,45,27.42
Sett,JUNGLE,TwistedFate,10,7,3,70
Sett,JUNGLE,Ezreal,65,26,39,40
Sett,JUNGLE,Darius,42,26,16,61.9
Sett,JUNGLE,Khazix,17,3,14,17.65
Sett,JUNGLE,Mel,73,36,37,49.32
Sett,JUNGLE,KSante,14,11,3,78.57
Sett,JUNGLE,Nunu,40,14,26,35
Sett,JUNGLE,Leblanc,8,3,5,37.5
Sett,JUNGLE,Twitch,29,14,15,48.28
Sett,JUNGLE,Thresh,41,26,15,63.41
Sett,JUNGLE,Kennen,17,14,3,82.35
Sett,JUNGLE,Irelia,21,14,7,66.67
Sett,JUNGLE,Soraka,19,6,13,31.58
Sett,JUNGLE,Shen,25,11,14,44
Sett,JUNGLE,Briar,56,16,40,28.57
Sett,JUNGLE,Yone,78,41,37,52.56
Sett,JUNGLE,Vayne,43,12,31,27.91
Sett,JUNGLE,Nami,34,11,23,32.35
Sett,JUNGLE,Garen,54,19,35,35.19
Sett,JUNGLE,Ahri,70,30,40,42.86
Sett,JUNGLE,Kalista,8,8,0,100
Sett,JUNGLE,Yuumi,44,31,13,70.45
Sett,JUNGLE,LeeSin,33,14,19,42.42
Sett,JUNGLE,Pyke,12,3,9,25
Sett,JUNGLE,Heimerdinger,20,9,11,45
Sett,JUNGLE,Graves,19,5,14,26.32
Sett,JUNGLE,Akshan,22,12,10,54.55
Sett,JUNGLE,Kaisa,13,3,10,23.08
Sett,JUNGLE,Singed,14,11,3,78.57
Sett,JUNGLE,Vi,35,32,3,91.43
Sett,JUNGLE,Kassadin,22,7,15,31.82
Sett,JUNGLE,Zeri,24,18,6,75
Sett,JUNGLE,Morgana,52,39,13,75
Sett,JUNGLE,Gnar,36,23,13,63.89
Sett,JUNGLE,Nocturne,31,14,17,45.16
Sett,JUNGLE,Talon,3,3,0,100
Sett,JUNGLE,Ziggs,19,13,6,68.42
Sett,JUNGLE,Nasus,28,7,21,25
