Name,Role,Opponent,Games,Wins,Losses,WR
Sett,TOP,Malphite,494,260,234,52.63
Sett,TOP,Yorick,455,175,280,38.46
Sett,TOP,Gwen,427,277,150,64.87
Sett,TOP,RekSai,14,9,5,64.29
Sett,TOP,Warwick,414,203,211,49.03
Sett,TOP,Pantheon,355,217,138,61.13
Sett,TOP,Braum,12,9,3,75
Sett,TOP,Darius,1313,686,627,52.25
Sett,TOP,Singed,159,92,67,57.86
Sett,TOP,KSante,298,178,120,59.73
Sett,TOP,Gnar,353,178,175,50.42
Sett,TOP,Chogath,763,447,316,58.58
Sett,TOP,Camille,253,121,132,47.83
Sett,TOP,Riven,370,201,169,54.32
Sett,TOP,Yone,631,351,280,55.63
Sett,TOP,Ambessa,409,240,169,58.68
Sett,TOP,Kled,135,100,35,74.07
Sett,TOP,Fiora,408,239,169,58.58
Sett,TOP,Illaoi,487,221,266,45.38
Sett,TOP,Volibear,522,221,301,42.34
Sett,TOP,Mordekaiser,1250,579,671,46.32
Sett,TOP,Yasuo,175,67,108,38.29
Sett,TOP,DrMundo,556,226,330,40.65
Sett,TOP,Jayce,222,154,68,69.37
Sett,TOP,TahmKench,321,178,143,55.45
Sett,TOP,Jax,478,269,209,56.28
Sett,TOP,Vayne,168,87,81,51.79
Sett,TOP,Aatrox,847,458,389,54.07
Sett,TOP,Rumble,120,62,58,51.67
Sett,TOP,Mel,36,26,10,72.22
Sett,TOP,Gragas,233,124,109,53.22
Sett,TOP,Sylas,66,33,33,50
Sett,TOP,Shen,387,200,187,51.68
Sett,TOP,Irelia,291,170,121,58.42
Sett,TOP,Gangplank,211,128,83,60.66
Sett,TOP,Diana,28,15,13,53.57
Sett,TOP,Teemo,649,308,341,47.46
Sett,TOP,Malzahar,43,26,17,60.47
Sett,TOP,Urgot,416,208,208,50
Sett,TOP,Garen,996,440,556,44.18
Sett,TOP,Ezreal,22,19,3,86.36
Sett,TOP,Heimerdinger,227,123,104,54.19
Sett,TOP,Tryndamere,366,191,175,52.19
Sett,TOP,Akali,131,62,69,47.33
Sett,TOP,Vladimir,143,69,74,48.25
Sett,TOP,Swain,59,33,26,55.93
Sett,TOP,Kayn,98,84,14,85.71
Sett,TOP,Milio,3,3,0,100
Sett,TOP,Kayle,471,239,232,50.74
Sett,TOP,Kennen,232,139,93,59.91
Sett,TOP,Sion,465,240,225,51.61
Sett,TOP,Azir,19,7,12,36.84
Sett,TOP,Renekton,437,266,171,60.87
Sett,TOP,Nasus,502,240,262,47.81
Sett,TOP,Trundle,284,148,136,52.11
Sett,TOP,Quinn,171,119,52,69.59
Sett,TOP,Soraka,10,10,0,100
Sett,TOP,Ornn,312,174,138,55.77
Sett,TOP,Ashe,38,29,9,76.32
Sett,TOP,Draven,14,11,3,78.57
Sett,TOP,Lillia,19,13,6,68.42
Sett,TOP,Fizz,12,6,6,50
Sett,TOP,Poppy,67,30,37,44.78
Sett,TOP,Olaf,146,79,67,54.11
Sett,TOP,Qiyana,21,18,3,85.71
Sett,TOP,Graves,9,6,3,66.67
Sett,TOP,Akshan,41,19,22,46.34
Sett,TOP,Orianna,3,3,0,100
Sett,TOP,TwistedFate,23,3,20,13.04
Sett,TOP,AurelionSol,6,0,6,0
Sett,TOP,FiddleSticks,43,18,25,41.86
Sett,TOP,Caitlyn,9,0,9,0
Sett,TOP,Rengar,17,8,9,47.06
Sett,TOP,Amumu,3,3,0,100
Sett,TOP,Aurora,111,57,54,51.35
Sett,TOP,Ryze,45,17,28,37.78
Sett,TOP,Naafiri,26,10,16,38.46
Sett,TOP,LeeSin,31,26,5,83.87
Sett,TOP,Samira,6,3,3,50
Sett,TOP,Leona,18,13,5,72.22
Sett,TOP,Taric,6,0,6,0
Sett,TOP,Kalista,24,3,21,12.5
Sett,TOP,XinZhao,41,31,10,75.61
Sett,TOP,Jhin,29,10,19,34.48
Sett,TOP,Varus,29,17,12,58.62
Sett,TOP,Velkoz,10,0,10,0
Sett,TOP,Seraphine,3,3,0,100
Sett,TOP,Anivia,15,0,15,0
Sett,TOP,MonkeyKing,93,47,46,50.54
Sett,TOP,Zed,16,9,7,56.25
Sett,TOP,Thresh,17,3,14,17.65
Sett,TOP,Kassadin,7,0,7,0
Sett,TOP,Kaisa,26,14,12,53.85
Sett,TOP,Smolder,39,21,18,53.85
Sett,TOP,Nautilus,26,3,23,11.54
Sett,TOP,JarvanIV,19,14,5,73.68
Sett,TOP,Skarner,10,10,0,100
Sett,TOP,Viego,28,18,10,64.29
Sett,TOP,Neeko,21,8,13,38.1
Sett,TOP,Sejuani,26,16,10,61.54
Sett,TOP,Lulu,10,3,7,30
Sett,TOP,Maokai,59,36,23,61.02
Sett,TOP,Briar,48,29,19,60.42
Sett,TOP,Belveth,7,7,0,100
Sett,TOP,Cassiopeia,66,53,13,80.3
Sett,TOP,Viktor,10,10,0,100
Sett,TOP,Twitch,10,0,10,0
Sett,TOP,Tristana,7,0,7,0
Sett,TOP,Galio,16,13,3,81.25
Sett,TOP,Vi,79,50,29,63.29
Sett,TOP,Ekko,16,16,0,100
Sett,TOP,Alistar,21,14,7,66.67
Sett,TOP,Karma,38,15,23,39.47
Sett,TOP,Udyr,34,26,8,76.47
Sett,TOP,Elise,18,18,0,100
Sett,TOP,Syndra,7,0,7,0
Sett,TOP,Lux,12,0,12,0
Sett,TOP,Evelynn,10,0,10,0
Sett,TOP,Leblanc,7,0,7,0
Sett,TOP,Shyvana,21,18,3,85.71
Sett,TOP,Nunu,13,10,3,76.92
Sett,TOP,Zyra,7,7,0,100
Sett,TOP,MasterYi,19,16,3,84.21
Sett,TOP,Xayah,7,7,0,100
Sett,TOP,Talon,15,7,8,46.67
Sett,TOP,Annie,15,5,10,33.33
Sett,TOP,Senna,13,0,13,0
Sett,TOP,Sivir,7,0,7,0
Sett,TOP,Ahri,24,13,11,54.17
Sett,TOP,Lissandra,6,6,0,100
Sett,TOP,Veigar,6,3,3,50
Sett,TOP,Zac,14,11,3,78.57
Sett,TOP,Ziggs,3,3,0,100
Sett,TOP,Shaco,24,16,8,66.67
Sett,TOP,Lucian,3,0,3,0
Sett,TOP,Jinx,3,3,0,100
Sett,TOP,Brand,11,5,6,45.45
Sett,TOP,Nidalee,9,9,0,100
Sett,TOP,Morgana,13,5,8,38.46
Sett,TOP,Rammus,9,6,3,66.67
Sett,TOP,Zilean,3,0,3,0
Sett,TOP,Karthus,8,3,5,37.5
Sett,TOP,Rell,13,3,10,23.08
Sett,TOP,Taliyah,3,3,0,100
Sett,TOP,Blitzcrank,3,3,0,100
Sett,TOP,Zeri,11,0,11,0
Sett,TOP,KogMaw,8,8,0,100
Sett,TOP,Vex,5,5,0,100
Sett,TOP,Kindred,5,5,0,100
Sett,TOP,Hwei,5,5,0,100
Sett,TOP,Aphelios,5,5,0,100
Sett,TOP,Nami,5,5,0,100
Sett,TOP,Khazix,5,0,5,0
Sett,TOP,Corki,5,0,5,0
Sett,TOP,Katarina,5,5,0,100
Sett,TOP,Nilah,3,0,3,0
Sett,JUNGLE,Kayn,54,44,10,81.48
Sett,JUNGLE,Shaco,38,25,13,65.79
Sett,JUNGLE,Rammus,13,10,3,76.92
Sett,JUNGLE,Sejuani,6,0,6,0
Sett,JUNGLE,Gragas,3,3,0,100
Sett,JUNGLE,Yorick,11,5,6,45.45
Sett,JUNGLE,Warwick,49,17,32,34.69
Sett,JUNGLE,Khazix,17,3,14,17.65
Sett,JUNGLE,Nunu,37,14,23,37.84
Sett,JUNGLE,Briar,56,16,40,28.57
Sett,JUNGLE,LeeSin,33,14,19,42.42
Sett,JUNGLE,Graves,19,5,14,26.32
Sett,JUNGLE,Vi,29,26,3,89.66
Sett,JUNGLE,Nocturne,31,14,17,45.16
Sett,JUNGLE,Gwen,3,0,3,0
Sett,JUNGLE,Chogath,3,3,0,100
Sett,JUNGLE,Lillia,18,18,0,100
Sett,JUNGLE,Hecarim,7,0,7,0
Sett,JUNGLE,Amumu,24,5,19,20.83
Sett,JUNGLE,Ekko,23,20,3,86.96
Sett,JUNGLE,Diana,42,21,21,50
Sett,JUNGLE,FiddleSticks,16,13,3,81.25
Sett,JUNGLE,Udyr,22,0,22,0
Sett,JUNGLE,Kindred,27,18,9,66.67
Sett,JUNGLE,XinZhao,36,10,26,27.78
Sett,JUNGLE,Viego,16,9,7,56.25
Sett,JUNGLE,Yone,7,7,0,100
Sett,JUNGLE,Nasus,7,7,0,100
Sett,JUNGLE,MasterYi,29,3,26,10.34
Sett,JUNGLE,RekSai,12,12,0,100
Sett,JUNGLE,Volibear,9,3,6,33.33
Sett,JUNGLE,Ivern,15,3,12,20
Sett,JUNGLE,Pantheon,14,3,11,21.43
Sett,JUNGLE,JarvanIV,12,9,3,75
Sett,JUNGLE,Rengar,8,3,5,37.5
Sett,JUNGLE,Jax,8,0,8,0
Sett,JUNGLE,Belveth,6,6,0,100
Sett,JUNGLE,Skarner,3,0,3,0
Sett,JUNGLE,Zac,3,0,3,0
Sett,JUNGLE,Darius,6,6,0,100
Sett,JUNGLE,Aatrox,3,3,0,100
Sett,JUNGLE,Sylas,3,0,3,0
Sett,JUNGLE,Garen,3,0,3,0
Sett,JUNGLE,MonkeyKing,6,0,6,0
Sett,JUNGLE,Teemo,3,3,0,100
Sett,JUNGLE,Trundle,3,0,3,0
Sett,JUNGLE,Zed,5,5,0,100
Sett,JUNGLE,Evelynn,20,15,5,75
Sett,JUNGLE,Mordekaiser,5,0,5,0
Sett,JUNGLE,Ambessa,5,5,0,100
Sett,JUNGLE,Naafiri,8,8,0,100
Sett,MIDDLE,Yasuo,65,40,25,61.54
Sett,MIDDLE,Yone,70,41,29,58.57
Sett,MIDDLE,Lux,32,10,22,31.25
Sett,MIDDLE,Teemo,6,6,0,100
Sett,MIDDLE,Irelia,24,21,3,87.5
Sett,MIDDLE,Azir,18,10,8,55.56
Sett,MIDDLE,Gangplank,11,8,3,72.73
Sett,MIDDLE,Ahri,48,21,27,43.75
Sett,MIDDLE,Hwei,22,16,6,72.73
Sett,MIDDLE,Velkoz,6,0,6,0
