Name,Role,Games,Wins,Losses,WR
Sett,TOP,21760,11476,10284,52.74
Sett,JUNGLE,836,414,422,49.52
Sett,MIDDLE,892,501,391,56.17
Sett,UTILITY,1124,499,625,44.4
Sett,BOTTOM,619,303,316,48.95
Sett,,64,0,64,0
Warwick,JUNGLE,18350,9685,8665,52.78
Warwick,TOP,5435,2807,2628,51.65
Warwick,MIDDLE,139,60,79,43.17
Warwick,UTILITY,171,55,116,32.16
Warwick,BOTTOM,92,42,50,45.65
Warwick,,48,3,45,6.25
Shen,MIDDLE,700,375,325,53.57
Shen,TOP,6442,3353,3089,52.05
Shen,UTILITY,1957,1006,951,51.41
Shen,BOTTOM,90,59,31,65.56
Shen,JUNGLE,855,379,476,44.33
Shen,,7,0,7,0
Tristana,BOTTOM,12270,6290,5980,51.26
Tristana,TOP,160,90,70,56.25
Tristana,MIDDLE,1054,529,525,50.19
Tristana,UTILITY,142,55,87,38.73
Tristana,JUNGLE,77,49,28,63.64
Tristana,,13,0,13,0
Blitzcrank,UTILITY,11022,5360,5662,48.63
Blitzcrank,BOTTOM,143,39,104,27.27
Blitzcrank,JUNGLE,181,51,130,28.18
Blitzcrank,MIDDLE,156,71,85,45.51
Blitzcrank,TOP,136,48,88,35.29
Blitzcrank,,10,0,10,0
Malphite,TOP,7355,3932,3423,53.46
Malphite,UTILITY,1636,792,844,48.41
Malphite,JUNGLE,806,388,418,48.14
Malphite,MIDDLE,1856,1029,827,55.44
Malphite,BOTTOM,203,84,119,41.38
Malphite,,30,0,30,0
Ekko,JUNGLE,5924,2955,2969,49.88
Ekko,MIDDLE,5452,2731,2721,50.09
Ekko,UTILITY,190,87,103,45.79
Ekko,TOP,279,113,166,40.5
Ekko,BOTTOM,104,33,71,31.73
Ekko,,19,0,19,0
Hwei,MIDDLE,7831,3857,3974,49.25
Hwei,BOTTOM,1429,793,636,55.49
Hwei,UTILITY,1953,964,989,49.36
Hwei,TOP,133,70,63,52.63
Hwei,JUNGLE,19,3,16,15.79
Hwei,,6,0,6,0
Lucian,BOTTOM,7920,3857,4063,48.7
Lucian,MIDDLE,405,159,246,39.26
Lucian,TOP,153,72,81,47.06
Lucian,JUNGLE,12,3,9,25
Lucian,UTILITY,45,20,25,44.44
Lucian,,6,0,6,0
Maokai,UTILITY,4573,2376,2197,51.96
Maokai,TOP,879,470,409,53.47
Maokai,JUNGLE,1097,624,473,56.88
Maokai,MIDDLE,55,35,20,63.64
Maokai,BOTTOM,53,24,29,45.28
Maokai,,5,0,5,0
Yone,TOP,9708,4516,5192,46.52
Yone,BOTTOM,1076,508,568,47.21
Yone,MIDDLE,17212,8693,8519,50.51
Yone,UTILITY,494,162,332,32.79
Yone,JUNGLE,370,126,244,34.05
Yone,,48,3,45,6.25
Darius,JUNGLE,7936,4206,3730,53
Darius,TOP,18779,9204,9575,49.01
Darius,BOTTOM,436,237,199,54.36
Darius,UTILITY,357,146,211,40.9
Darius,,42,0,42,0
Darius,MIDDLE,414,227,187,54.83
Yasuo,MIDDLE,19832,10074,9758,50.8
Yasuo,BOTTOM,4898,2457,2441,50.16
Yasuo,TOP,3882,1889,1993,48.66
Yasuo,JUNGLE,284,132,152,46.48
Yasuo,UTILITY,346,154,192,44.51
Yasuo,,32,0,32,0
Jhin,BOTTOM,25221,12858,12363,50.98
Jhin,MIDDLE,768,413,355,53.78
Jhin,TOP,395,181,214,45.82
