Name,Role,Opponent,Games,Wins,Losses,WR
Ambessa,TOP,Yone,224,109,115,48.66
Ambessa,TOP,Viego,180,110,70,61.11
Ambessa,TOP,Yasuo,242,102,140,42.15
Ambessa,TOP,Ezreal,339,183,156,53.98
Ambessa,TOP,Lux,293,143,150,48.81
Ambessa,TOP,Vladimir,46,28,18,60.87
Ambessa,TOP,Kayn,156,81,75,51.92
Ambessa,TOP,Velkoz,44,18,26,40.91
Ambessa,TOP,Xayah,94,44,50,46.81
Ambessa,TOP,Leblanc,82,44,38,53.66
Ambessa,TOP,Galio,151,92,59,60.93
Ambessa,TOP,Hecarim,38,22,16,57.89
Ambessa,TOP,Shen,116,41,75,35.34
Ambessa,TOP,Kaisa,237,109,128,45.99
Ambessa,TOP,Nami,118,48,70,40.68
Ambessa,TOP,Akali,132,60,72,45.45
Ambessa,TOP,LeeSin,283,163,120,57.6
Ambessa,TOP,Hwei,79,38,41,48.1
Ambessa,TOP,Pyke,87,57,30,65.52
Ambessa,TOP,Gnar,42,31,11,73.81
Ambessa,TOP,Mel,289,153,136,52.94
Ambessa,TOP,Twitch,75,39,36,52
Ambessa,TOP,Pantheon,210,102,108,48.57
Ambessa,TOP,Alistar,59,43,16,72.88
Ambessa,TOP,Nocturne,148,73,75,49.32
Ambessa,TOP,Urgot,35,15,20,42.86
Ambessa,TOP,Samira,103,59,44,57.28
Ambessa,TOP,Warwick,167,89,78,53.29
Ambessa,TOP,Ornn,100,51,49,51
Ambessa,TOP,Katarina,81,46,35,56.79
Ambessa,TOP,Tristana,87,63,24,72.41
Ambessa,TOP,Renekton,126,44,82,34.92
Ambessa,TOP,JarvanIV,112,67,45,59.82
Ambessa,TOP,Seraphine,112,68,44,60.71
Ambessa,TOP,Jhin,215,138,77,64.19
Ambessa,TOP,Janna,52,21,31,40.38
Ambessa,TOP,Vayne,141,58,83,41.13
Ambessa,TOP,Ahri,166,87,79,52.41
Ambessa,TOP,Yuumi,80,51,29,63.75
Ambessa,TOP,Irelia,87,42,45,48.28
Ambessa,TOP,Lillia,68,29,39,42.65
Ambessa,TOP,Volibear,128,47,81,36.72
Ambessa,TOP,Jax,126,68,58,53.97
Ambessa,TOP,Ashe,263,131,132,49.81
Ambessa,TOP,Malzahar,119,59,60,49.58
Ambessa,TOP,Jayce,70,36,34,51.43
Ambessa,TOP,Sion,114,42,72,36.84
Ambessa,TOP,Lucian,102,53,49,51.96
Ambessa,TOP,Kennen,32,9,23,28.13
Ambessa,TOP,Nautilus,201,94,107,46.77
Ambessa,TOP,AurelionSol,51,23,28,45.1
Ambessa,TOP,Nunu,104,55,49,52.88
Ambessa,TOP,Lulu,147,72,75,48.98
Ambessa,TOP,Thresh,196,105,91,53.57
Ambessa,TOP,Trundle,71,50,21,70.42
Ambessa,TOP,Smolder,110,43,67,39.09
Ambessa,TOP,Khazix,60,32,28,53.33
Ambessa,TOP,Zed,127,61,66,48.03
Ambessa,TOP,Jinx,300,129,171,43
Ambessa,TOP,Sona,32,6,26,18.75
Ambessa,TOP,Yorick,106,51,55,48.11
Ambessa,TOP,Elise,114,51,63,44.74
Ambessa,TOP,Veigar,99,52,47,52.53
Ambessa,TOP,Poppy,133,57,76,42.86
Ambessa,TOP,Swain,97,37,60,38.14
Ambessa,TOP,Ekko,105,64,41,60.95
Ambessa,TOP,TahmKench,107,52,55,48.6
Ambessa,TOP,Heimerdinger,38,16,22,42.11
Ambessa,TOP,Syndra,99,44,55,44.44
Ambessa,TOP,Caitlyn,279,155,124,55.56
Ambessa,TOP,Karma,165,102,63,61.82
Ambessa,TOP,Chogath,141,66,75,46.81
Ambessa,TOP,MonkeyKing,86,30,56,34.88
Ambessa,TOP,Teemo,116,68,48,58.62
Ambessa,TOP,TwistedFate,50,28,22,56
Ambessa,TOP,Malphite,134,59,75,44.03
Ambessa,TOP,Udyr,55,37,18,67.27
Ambessa,TOP,Brand,72,39,33,54.17
Ambessa,TOP,Amumu,141,52,89,36.88
Ambessa,TOP,Aurora,118,66,52,55.93
Ambessa,TOP,Aphelios,53,15,38,28.3
Ambessa,TOP,Leona,132,71,61,53.79
Ambessa,TOP,Zyra,82,43,39,52.44
Ambessa,TOP,Morgana,84,43,41,51.19
Ambessa,TOP,Mordekaiser,127,50,77,39.37
Ambessa,TOP,Zac,78,34,44,43.59
Ambessa,TOP,Aatrox,150,89,61,59.33
Ambessa,TOP,Viktor,122,62,60,50.82
Ambessa,TOP,Braum,110,56,54,50.91
Ambessa,TOP,Diana,196,91,105,46.43
Ambessa,TOP,Akshan,49,22,27,44.9
Ambessa,TOP,Gragas,91,60,31,65.93
Ambessa,TOP,Sett,213,119,94,55.87
Ambessa,TOP,Maokai,64,35,29,54.69
Ambessa,TOP,Nasus,58,22,36,37.93
Ambessa,TOP,MissFortune,219,114,105,52.05
Ambessa,TOP,Blitzcrank,144,58,86,40.28
Ambessa,TOP,DrMundo,36,11,25,30.56
Ambessa,TOP,FiddleSticks,47,12,35,25.53
Ambessa,TOP,Draven,78,29,49,37.18
Ambessa,TOP,Taliyah,43,20,23,46.51
Ambessa,TOP,Talon,47,18,29,38.3
Ambessa,TOP,Garen,151,80,71,52.98
Ambessa,TOP,Graves,82,37,45,45.12
Ambessa,TOP,KogMaw,43,24,19,55.81
Ambessa,TOP,Milio,90,22,68,24.44
Ambessa,TOP,Belveth,28,11,17,39.29
Ambessa,TOP,MasterYi,112,56,56,50
Ambessa,TOP,Rammus,41,26,15,63.41
Ambessa,TOP,Riven,80,42,38,52.5
Ambessa,TOP,Vi,133,44,89,33.08
Ambessa,TOP,Renata,26,10,16,38.46
Ambessa,TOP,Kayle,49,17,32,34.69
Ambessa,TOP,Orianna,59,33,26,55.93
Ambessa,TOP,Xerath,132,45,87,34.09
Ambessa,TOP,Rakan,66,39,27,59.09
Ambessa,TOP,Nidalee,56,31,25,55.36
Ambessa,TOP,Ryze,77,43,34,55.84
Ambessa,TOP,Kalista,41,20,21,48.78
Ambessa,TOP,Skarner,55,33,22,60
Ambessa,TOP,Tryndamere,62,35,27,56.45
Ambessa,TOP,Gwen,50,28,22,56
Ambessa,TOP,KSante,127,65,62,51.18
Ambessa,TOP,Karthus,38,14,24,36.84
Ambessa,TOP,Darius,182,89,93,48.9
Ambessa,TOP,Fizz,36,17,19,47.22
Ambessa,TOP,Camille,93,43,50,46.24
Ambessa,TOP,Vex,74,43,31,58.11
Ambessa,TOP,Kindred,51,33,18,64.71
Ambessa,TOP,Naafiri,56,39,17,69.64
Ambessa,TOP,Nilah,37,15,22,40.54
Ambessa,TOP,Taric,28,15,13,53.57
Ambessa,TOP,Sivir,73,34,39,46.58
Ambessa,TOP,Illaoi,59,35,24,59.32
Ambessa,TOP,Evelynn,30,20,10,66.67
Ambessa,TOP,Senna,68,42,26,61.76
Ambessa,TOP,Gangplank,58,27,31,46.55
Ambessa,TOP,Kled,22,17,5,77.27
Ambessa,TOP,Rengar,32,12,20,37.5
Ambessa,TOP,Neeko,55,21,34,38.18
Ambessa,TOP,XinZhao,109,55,54,50.46
Ambessa,TOP,Annie,32,15,17,46.88
Ambessa,TOP,Zilean,27,9,18,33.33
Ambessa,TOP,Anivia,32,19,13,59.38
Ambessa,TOP,Zoe,58,33,25,56.9
Ambessa,TOP,Azir,75,36,39,48
Ambessa,TOP,Briar,36,18,18,50
Ambessa,TOP,Sylas,160,90,70,56.25
Ambessa,TOP,Singed,35,15,20,42.86
Ambessa,TOP,Corki,39,28,11,71.79
Ambessa,TOP,Rell,84,33,51,39.29
Ambessa,TOP,Cassiopeia,43,21,22,48.84
Ambessa,TOP,Lissandra,21,8,13,38.1
Ambessa,TOP,Shaco,82,38,44,46.34
Ambessa,TOP,Soraka,22,14,8,63.64
Ambessa,TOP,Fiora,54,22,32,40.74
Ambessa,TOP,Kassadin,29,15,14,51.72
Ambessa,TOP,Varus,144,92,52,63.89
Ambessa,TOP,Quinn,32,11,21,34.38
Ambessa,TOP,Olaf,17,10,7,58.82
Ambessa,TOP,Ziggs,61,43,18,70.49
Ambessa,TOP,Sejuani,77,41,36,53.25
Ambessa,TOP,Ivern,25,10,15,40
Ambessa,TOP,Bard,45,17,28,37.78
Ambessa,TOP,Rumble,40,29,11,72.5
Ambessa,TOP,Shyvana,27,7,20,25.93
Ambessa,TOP,Qiyana,21,13,8,61.9
Ambessa,TOP,Zeri,44,25,19,56.82
Ambessa,TOP,RekSai,15,5,10,33.33
Ambessa,JUNGLE,Shen,12,9,3,75
Ambessa,JUNGLE,Shaco,11,6,5,54.55
Ambessa,JUNGLE,AurelionSol,12,12,0,100
Ambessa,JUNGLE,Caitlyn,25,9,16,36
Ambessa,JUNGLE,Brand,12,9,3,75
Ambessa,JUNGLE,Urgot,11,8,3,72.73
Ambessa,JUNGLE,Mel,31,17,14,54.84
Ambessa,JUNGLE,Amumu,20,11,9,55
Ambessa,JUNGLE,Lux,40,30,10,75
Ambessa,JUNGLE,Ezreal,26,21,5,80.77
Ambessa,JUNGLE,Zyra,10,7,3,70
Ambessa,JUNGLE,Briar,6,0,6,0
Ambessa,JUNGLE,TwistedFate,12,6,6,50
Ambessa,JUNGLE,Sivir,15,9,6,60
Ambessa,JUNGLE,Mordekaiser,14,8,6,57.14
Ambessa,JUNGLE,Lucian,13,11,2,84.62
Ambessa,JUNGLE,LeeSin,21,8,13,38.1
Ambessa,JUNGLE,Gnar,11,11,0,100
Ambessa,JUNGLE,Chogath,17,6,11,35.29
Ambessa,JUNGLE,Thresh,23,17,6,73.91
Ambessa,JUNGLE,Gragas,9,2,7,22.22
Ambessa,JUNGLE,Aatrox,15,9,6,60
Ambessa,JUNGLE,Yasuo,28,13,15,46.43
Ambessa,JUNGLE,Nilah,8,2,6,25
Ambessa,JUNGLE,Janna,8,5,3,62.5
Ambessa,JUNGLE,Sett,19,6,13,31.58
Ambessa,JUNGLE,Zac,10,8,2,80
Ambessa,JUNGLE,Katarina,12,6,6,50
Ambessa,JUNGLE,Jhin,23,14,9,60.87
Ambessa,JUNGLE,Xerath,17,9,8,52.94
Ambessa,JUNGLE,Vayne,25,8,17,32
Ambessa,JUNGLE,DrMundo,8,5,3,62.5
Ambessa,JUNGLE,Jinx,34,18,16,52.94
Ambessa,JUNGLE,Soraka,6,0,6,0
Ambessa,JUNGLE,Skarner,3,3,0,100
Ambessa,JUNGLE,Vex,3,3,0,100
Ambessa,JUNGLE,Leona,25,14,11,56
Ambessa,JUNGLE,Yone,32,15,17,46.88
Ambessa,JUNGLE,Akali,14,11,3,78.57
Ambessa,JUNGLE,Viego,39,22,17,56.41
Ambessa,JUNGLE,MissFortune,30,17,13,56.67
Ambessa,JUNGLE,Kayle,13,9,4,69.23
Ambessa,JUNGLE,Braum,14,8,6,57.14
Ambessa,JUNGLE,Kassadin,6,3,3,50
Ambessa,JUNGLE,Milio,8,5,3,62.5
Ambessa,JUNGLE,Ahri,20,3,17,15
Ambessa,JUNGLE,Zed,8,3,5,37.5
Ambessa,JUNGLE,Malphite,20,11,9,55
Ambessa,JUNGLE,Pyke,5,5,0,100
Ambessa,JUNGLE,Ekko,13,6,7,46.15
Ambessa,JUNGLE,Galio,8,3,5,37.5
Ambessa,JUNGLE,Elise,13,7,6,53.85
Ambessa,JUNGLE,Hwei,14,8,6,57.14
Ambessa,JUNGLE,Akshan,7,5,2,71.43
Ambessa,JUNGLE,Talon,6,6,0,100
Ambessa,JUNGLE,KSante,10,7,3,70
Ambessa,JUNGLE,Lulu,24,14,10,58.33
Ambessa,JUNGLE,Hecarim,3,3,0,100
Ambessa,JUNGLE,Yuumi,8,8,0,100
Ambessa,JUNGLE,Renekton,22,13,9,59.09
Ambessa,JUNGLE,Corki,9,6,3,66.67
Ambessa,JUNGLE,Nautilus,13,6,7,46.15
Ambessa,JUNGLE,Illaoi,6,0,6,0
Ambessa,JUNGLE,Trundle,12,3,9,25
Ambessa,JUNGLE,Heimerdinger,6,3,3,50
Ambessa,JUNGLE,Kayn,31,16,15,51.61
Ambessa,JUNGLE,Karma,16,5,11,31.25
Ambessa,JUNGLE,Ashe,21,5,16,23.81
Ambessa,JUNGLE,Nami,6,3,3,50
Ambessa,JUNGLE,Garen,16,8,8,50
Ambessa,JUNGLE,Nunu,5,2,3,40
Ambessa,JUNGLE,Lissandra,7,2,5,28.57
Ambessa,JUNGLE,Aphelios,10,8,2,80
Ambessa,JUNGLE,Seraphine,17,9,8,52.94
Ambessa,JUNGLE,Irelia,7,0,7,0
Ambessa,JUNGLE,Sejuani,6,4,2,66.67
Ambessa,JUNGLE,Kaisa,18,7,11,38.89
Ambessa,JUNGLE,Twitch,4,2,2,50
Ambessa,JUNGLE,Syndra,4,2,2,50
Ambessa,JUNGLE,Warwick,15,5,10,33.33
Ambessa,JUNGLE,Renata,2,2,0,100
Ambessa,JUNGLE,Camille,9,6,3,66.67
Ambessa,JUNGLE,Jax,12,6,6,50
Ambessa,JUNGLE,Evelynn,2,0,2,0
Ambessa,JUNGLE,Zoe,2,0,2,0
Ambessa,JUNGLE,Taric,4,0,4,0
Ambessa,JUNGLE,Riven,2,2,0,100
Ambessa,JUNGLE,Volibear,9,4,5,44.44
Ambessa,JUNGLE,Xayah,12,4,8,33.33
Ambessa,JUNGLE,Rakan,14,8,6,57.14
Ambessa,JUNGLE,Khazix,9,7,2,77.78
Ambessa,JUNGLE,Diana,21,11,10,52.38
Ambessa,JUNGLE,Ornn,5,0,5,0
Ambessa,JUNGLE,Veigar,16,3,13,18.75
Ambessa,JUNGLE,Gwen,4,4,0,100
Ambessa,JUNGLE,Ziggs,2,2,0,100
Ambessa,JUNGLE,Samira,5,0,5,0
Ambessa,JUNGLE,Pantheon,27,8,19,29.63
Ambessa,JUNGLE,Naafiri,5,0,5,0
Ambessa,JUNGLE,Velkoz,11,3,8,27.27
Ambessa,JUNGLE,Quinn,2,0,2,0
Ambessa,JUNGLE,Vi,4,0,4,0
Ambessa,JUNGLE,Zeri,2,0,2,0
Ambessa,JUNGLE,Annie,2,2,0,100
Ambessa,JUNGLE,Anivia,5,2,3,40
Ambessa,JUNGLE,Poppy,10,5,5,50
Ambessa,JUNGLE,Sion,13,5,8,38.46
Ambessa,JUNGLE,Vladimir,5,3,2,60
Ambessa,JUNGLE,XinZhao,6,4,2,66.67
Ambessa,JUNGLE,MonkeyKing,11,6,5,54.55
Ambessa,JUNGLE,Zilean,2,0,2,0
Ambessa,JUNGLE,TahmKench,8,3,5,37.5
Ambessa,JUNGLE,Malzahar,12,7,5,58.33
Ambessa,JUNGLE,Aurora,11,2,9,18.18
Ambessa,JUNGLE,MasterYi,14,11,3,78.57
Ambessa,JUNGLE,Alistar,5,2,3,40
Ambessa,JUNGLE,Viktor,9,9,0,100
Ambessa,JUNGLE,Graves,2,2,0,100
Ambessa,JUNGLE,Rengar,4,2,2,50
Ambessa,JUNGLE,Darius,23,11,12,47.83
Ambessa,JUNGLE,Leblanc,7,2,5,28.57
Ambessa,JUNGLE,Taliyah,8,0,8,0
Ambessa,JUNGLE,Fizz,2,0,2,0
Ambessa,JUNGLE,Senna,8,6,2,75
Ambessa,JUNGLE,KogMaw,7,5,2,71.43
Ambessa,JUNGLE,Bard,5,2,3,40
Ambessa,JUNGLE,Ivern,5,5,0,100
Ambessa,JUNGLE,Tryndamere,2,2,0,100
Ambessa,JUNGLE,Udyr,5,3,2,60
Ambessa,JUNGLE,Swain,5,0,5,0
Ambessa,JUNGLE,Smolder,7,5,2,71.43
Ambessa,JUNGLE,Rammus,5,0,5,0
Ambessa,JUNGLE,Rell,7,2,5,28.57
Ambessa,JUNGLE,Maokai,2,2,0,100
Ambessa,JUNGLE,Tristana,6,0,6,0
Ambessa,JUNGLE,Kennen,6,3,3,50
Ambessa,JUNGLE,Orianna,9,0,9,0
Ambessa,JUNGLE,Morgana,8,5,3,62.5
Ambessa,JUNGLE,Sylas,12,6,6,50
Ambessa,JUNGLE,Nocturne,9,6,3,66.67
Ambessa,JUNGLE,Blitzcrank,6,3,3,50
Ambessa,JUNGLE,Azir,3,0,3,0
Ambessa,JUNGLE,Jayce,9,6,3,66.67
Ambessa,JUNGLE,Gangplank,3,3,0,100
Ambessa,JUNGLE,Neeko,3,0,3,0
Ambessa,JUNGLE,Kled,3,3,0,100
Ambessa,JUNGLE,Nasus,3,3,0,100
Ambessa,JUNGLE,Draven,6,6,0,100
Ambessa,JUNGLE,Shyvana,3,3,0,100
Ambessa,JUNGLE,Varus,9,6,3,66.67
Ambessa,JUNGLE,Teemo,3,3,0,100
Ambessa,JUNGLE,Nidalee,5,5,0,100
Ambessa,JUNGLE,Sona,3,0,3,0
