Name,Role,Opponent,Games,Wins,Losses,WR
Ambessa,TOP,Yone,82,37,45,45.12
Ambessa,TOP,Vladimir,24,12,12,50
Ambessa,TOP,Shen,101,35,66,34.65
Ambessa,TOP,Akali,20,11,9,55
Ambessa,TOP,Gnar,40,29,11,72.5
Ambessa,TOP,Urgot,30,13,17,43.33
Ambessa,TOP,Warwick,75,38,37,50.67
Ambessa,TOP,Renekton,118,41,77,34.75
Ambessa,TOP,Irelia,48,27,21,56.25
Ambessa,TOP,Volibear,76,25,51,32.89
Ambessa,TOP,Pyke,3,3,0,100
Ambessa,TOP,Thresh,5,3,2,60
Ambessa,TOP,AurelionSol,3,3,0,100
Ambessa,TOP,Yorick,71,30,41,42.25
Ambessa,TOP,Heimerdinger,21,13,8,61.9
Ambessa,TOP,Chogath,91,43,48,47.25
Ambessa,TOP,Malphite,93,44,49,47.31
Ambessa,TOP,Jax,77,45,32,58.44
Ambessa,TOP,Ornn,86,44,42,51.16
Ambessa,TOP,Mordekaiser,118,48,70,40.68
Ambessa,TOP,Aatrox,135,77,58,57.04
Ambessa,TOP,Gragas,40,24,16,60
Ambessa,TOP,Sett,195,110,85,56.41
Ambessa,TOP,Nasus,48,19,29,39.58
Ambessa,TOP,DrMundo,32,11,21,34.38
Ambessa,TOP,Trundle,50,35,15,70
Ambessa,TOP,Poppy,60,21,39,35
Ambessa,TOP,Garen,131,70,61,53.44
Ambessa,TOP,Kayn,9,6,3,66.67
Ambessa,TOP,Riven,76,42,34,55.26
Ambessa,TOP,Kayle,37,14,23,37.84
Ambessa,TOP,Skarner,3,3,0,100
Ambessa,TOP,Tryndamere,53,26,27,49.06
Ambessa,TOP,KSante,119,60,59,50.42
Ambessa,TOP,Darius,126,72,54,57.14
Ambessa,TOP,Camille,72,28,44,38.89
Ambessa,TOP,Aurora,15,7,8,46.67
Ambessa,TOP,Sion,79,25,54,31.65
Ambessa,TOP,Pantheon,28,19,9,67.86
Ambessa,TOP,Illaoi,56,32,24,57.14
Ambessa,TOP,Gangplank,50,27,23,54
Ambessa,TOP,Kled,22,17,5,77.27
Ambessa,TOP,Gwen,15,11,4,73.33
Ambessa,TOP,Ryze,24,17,7,70.83
Ambessa,TOP,XinZhao,3,3,0,100
Ambessa,TOP,Singed,29,15,14,51.72
Ambessa,TOP,Jayce,50,27,23,54
Ambessa,TOP,Rell,3,0,3,0
Ambessa,TOP,Vayne,25,14,11,56
Ambessa,TOP,Malzahar,5,0,5,0
Ambessa,TOP,Teemo,93,57,36,61.29
Ambessa,TOP,Fiora,54,22,32,40.74
Ambessa,TOP,Mel,5,3,2,60
Ambessa,TOP,TahmKench,38,23,15,60.53
Ambessa,TOP,Varus,17,17,0,100
Ambessa,TOP,Olaf,7,2,5,28.57
Ambessa,TOP,MasterYi,8,2,6,25
Ambessa,TOP,Rumble,34,23,11,67.65
Ambessa,TOP,MonkeyKing,16,4,12,25
Ambessa,TOP,Nidalee,4,4,0,100
Ambessa,TOP,Braum,2,2,0,100
Ambessa,TOP,Quinn,17,2,15,11.76
Ambessa,TOP,Draven,10,10,0,100
Ambessa,TOP,Tristana,2,2,0,100
Ambessa,TOP,Rammus,2,2,0,100
Ambessa,TOP,Karthus,2,2,0,100
Ambessa,TOP,Kennen,20,6,14,30
Ambessa,TOP,TwistedFate,2,2,0,100
Ambessa,TOP,Udyr,11,11,0,100
Ambessa,TOP,Yasuo,20,11,9,55
Ambessa,TOP,Kaisa,4,0,4,0
Ambessa,TOP,Cassiopeia,7,5,2,71.43
Ambessa,TOP,Viktor,5,0,5,0
Ambessa,TOP,Lillia,2,2,0,100
Ambessa,TOP,JarvanIV,2,0,2,0
Ambessa,TOP,Sejuani,11,6,5,54.55
Ambessa,TOP,Maokai,13,8,5,61.54
Ambessa,TOP,Zac,11,3,8,27.27
Ambessa,TOP,Caitlyn,2,2,0,100
Ambessa,TOP,Karma,5,2,3,40
Ambessa,TOP,Khazix,3,0,3,0
Ambessa,TOP,Lucian,3,3,0,100
Ambessa,TOP,Zed,9,0,9,0
Ambessa,TOP,Swain,9,3,6,33.33
Ambessa,TOP,Ezreal,3,3,0,100
Ambessa,TOP,Smolder,3,3,0,100
Ambessa,TOP,Azir,6,0,6,0
Ambessa,TOP,Galio,3,0,3,0
Ambessa,TOP,Sylas,8,3,5,37.5
Ambessa,TOP,Annie,3,3,0,100
Ambessa,TOP,Nautilus,3,3,0,100
Ambessa,TOP,Leblanc,6,3,3,50
Ambessa,TOP,LeeSin,3,0,3,0
Ambessa,TOP,Zilean,3,0,3,0
Ambessa,TOP,Hwei,3,3,0,100
Ambessa,TOP,Ekko,3,3,0,100
Ambessa,TOP,Shyvana,2,0,2,0
Ambessa,TOP,Qiyana,2,0,2,0
Ambessa,JUNGLE,Shaco,9,6,3,66.67
Ambessa,JUNGLE,Amumu,17,11,6,64.71
Ambessa,JUNGLE,Briar,6,0,6,0
Ambessa,JUNGLE,LeeSin,21,8,13,38.1
Ambessa,JUNGLE,Gragas,3,0,3,0
Ambessa,JUNGLE,Zac,10,8,2,80
Ambessa,JUNGLE,DrMundo,3,0,3,0
Ambessa,JUNGLE,Skarner,3,3,0,100
Ambessa,JUNGLE,Viego,36,19,17,52.78
Ambessa,JUNGLE,Zed,5,3,2,60
Ambessa,JUNGLE,Ekko,6,3,3,50
Ambessa,JUNGLE,Talon,3,3,0,100
Ambessa,JUNGLE,Hecarim,3,3,0,100
Ambessa,JUNGLE,Trundle,6,0,6,0
Ambessa,JUNGLE,Kayn,31,16,15,51.61
Ambessa,JUNGLE,Nunu,5,2,3,40
Ambessa,JUNGLE,Sejuani,6,4,2,66.67
Ambessa,JUNGLE,Evelynn,2,0,2,0
Ambessa,JUNGLE,Volibear,9,4,5,44.44
Ambessa,JUNGLE,Khazix,9,7,2,77.78
Ambessa,JUNGLE,Vi,4,0,4,0
Ambessa,JUNGLE,Pantheon,16,5,11,31.25
Ambessa,JUNGLE,XinZhao,6,4,2,66.67
Ambessa,JUNGLE,MonkeyKing,11,6,5,54.55
Ambessa,JUNGLE,MasterYi,14,11,3,78.57
Ambessa,JUNGLE,Elise,10,4,6,40
Ambessa,JUNGLE,Graves,2,2,0,100
Ambessa,JUNGLE,Warwick,8,0,8,0
Ambessa,JUNGLE,Diana,8,3,5,37.5
Ambessa,JUNGLE,Rengar,2,2,0,100
Ambessa,JUNGLE,Gwen,2,2,0,100
Ambessa,JUNGLE,Ivern,5,5,0,100
Ambessa,JUNGLE,Udyr,5,3,2,60
Ambessa,JUNGLE,Darius,8,3,5,37.5
Ambessa,JUNGLE,Rammus,5,0,5,0
Ambessa,JUNGLE,Sion,3,0,3,0
Ambessa,JUNGLE,Nocturne,9,6,3,66.67
Ambessa,JUNGLE,Taliyah,3,0,3,0
Ambessa,JUNGLE,Shyvana,3,3,0,100
Ambessa,JUNGLE,Poppy,3,3,0,100
Ambessa,JUNGLE,Nidalee,5,5,0,100
Ambessa,JUNGLE,Belveth,3,3,0,100
Ambessa,JUNGLE,Yorick,3,3,0,100
Ambessa,JUNGLE,RekSai,3,0,3,0
Ambessa,JUNGLE,Kindred,3,3,0,100
Ambessa,MIDDLE,Katarina,11,8,3,72.73
Ambessa,MIDDLE,Leblanc,11,9,2,81.82
Ambessa,MIDDLE,Yasuo,22,13,9,59.09
Ambessa,MIDDLE,Ekko,11,3,8,27.27
Ambessa,MIDDLE,Sett,3,0,3,0
Ambessa,MIDDLE,Kayle,6,3,3,50
Ambessa,MIDDLE,Viktor,11,5,6,45.45
Ambessa,MIDDLE,Sylas,35,16,19,45.71
Ambessa,MIDDLE,Ahri,27,10,17,37.04
Ambessa,MIDDLE,Zoe,9,6,3,66.67
Ambessa,MIDDLE,Mel,14,12,2,85.71
Ambessa,MIDDLE,TwistedFate,9,0,9,0
Ambessa,MIDDLE,Talon,15,12,3,80
Ambessa,MIDDLE,Lux,7,2,5,28.57
Ambessa,MIDDLE,Orianna,8,6,2,75
Ambessa,MIDDLE,Naafiri,6,3,3,50
Ambessa,MIDDLE,Qiyana,3,3,0,100
Ambessa,MIDDLE,Singed,2,0,2,0
Ambessa,MIDDLE,Vex,2,2,0,100
Ambessa,MIDDLE,Malphite,2,0,2,0
Ambessa,MIDDLE,Syndra,5,0,5,0
Ambessa,MIDDLE,Vladimir,12,7,5,58.33
Ambessa,MIDDLE,Kassadin,2,0,2,0
Ambessa,MIDDLE,Varus,2,0,2,0
Ambessa,MIDDLE,Malzahar,10,5,5,50
Ambessa,MIDDLE,TahmKench,2,2,0,100
