Name,Role,Games,Wins,Losses,WR
Ambessa,TOP,3273,1641,1632,50.14
Ambessa,JUNGLE,337,176,161,52.23
Ambessa,MIDDLE,395,215,180,54.43
Ambessa,,3,0,3,0
Ambessa,UTILITY,23,3,20,13.04
Ambessa,BOTTOM,21,3,18,14.29
Volibear,JUNGLE,2534,1319,1215,52.05
Volibear,TOP,2814,1449,1365,51.49
Volibear,,3,0,3,0
Volibear,MIDDLE,92,60,32,65.22
Volibear,UTILITY,48,22,26,45.83
Volibear,BOTTOM,12,4,8,33.33
Veigar,MIDDLE,4148,2165,1983,52.19
Veigar,UTILITY,440,181,259,41.14
Veigar,BOTTOM,567,285,282,50.26
Veigar,TOP,121,62,59,51.24
Veigar,,10,0,10,0
Vayne,BOTTOM,5279,2791,2488,52.87
Vayne,TOP,1042,547,495,52.5
Vayne,JUNGLE,47,19,28,40.43
Vayne,MIDDLE,125,76,49,60.8
Vayne,,6,0,6,0
Vayne,UTILITY,23,9,14,39.13
Seraphine,UTILITY,3303,1731,1572,52.41
Seraphine,MIDDLE,136,53,83,38.97
Seraphine,BOTTOM,273,131,142,47.99
Seraphine,,8,0,8,0
Seraphine,TOP,14,0,14,0
Seraphine,JUNGLE,2,0,2,0
Yone,TOP,3347,1615,1732,48.25
Yone,MIDDLE,5447,2680,2767,49.2
Yone,UTILITY,80,27,53,33.75
Yone,BOTTOM,212,106,106,50
Yone,JUNGLE,53,24,29,45.28
Yone,,7,0,7,0
Viego,JUNGLE,6680,3397,3283,50.85
Viego,TOP,59,29,30,49.15
Viego,MIDDLE,120,63,57,52.5
Viego,BOTTOM,18,8,10,44.44
Viego,UTILITY,12,6,6,50
Viego,,6,0,6,0
Yasuo,MIDDLE,7148,3662,3486,51.23
Yasuo,TOP,1272,610,662,47.96
Yasuo,BOTTOM,1451,691,760,47.62
Yasuo,JUNGLE,64,35,29,54.69
Yasuo,UTILITY,88,27,61,30.68
Yasuo,,6,0,6,0
Ezreal,BOTTOM,12215,6027,6188,49.34
Ezreal,,9,0,9,0
Ezreal,MIDDLE,378,150,228,39.68
Ezreal,JUNGLE,83,35,48,42.17
Ezreal,TOP,124,58,66,46.77
Ezreal,UTILITY,81,42,39,51.85
Lux,UTILITY,7228,3508,3720,48.53
Lux,MIDDLE,4042,1918,2124,47.45
Lux,BOTTOM,457,243,214,53.17
Lux,TOP,68,26,42,38.24
Lux,,5,0,5,0
Lux,JUNGLE,15,6,9,40
Mordekaiser,TOP,5711,2870,2841,50.25
Mordekaiser,JUNGLE,490,241,249,49.18
Mordekaiser,MIDDLE,220,109,111,49.55
Mordekaiser,BOTTOM,41,22,19,53.66
Mordekaiser,UTILITY,94,42,52,44.68
Mordekaiser,,6,0,6,0
Evelynn,JUNGLE,1500,754,746,50.27
Evelynn,TOP,20,8,12,40
Evelynn,UTILITY,12,10,2,83.33
Evelynn,BOTTOM,3,0,3,0
Evelynn,MIDDLE,12,7,5,58.33
Riven,MIDDLE,143,58,85,40.56
Riven,TOP,1901,982,919,51.66
Riven,BOTTOM,20,8,12,40
Riven,JUNGLE,39,22,17,56.41
Riven,UTILITY,17,9,8,52.94
MissFortune,BOTTOM,9887,5030,4857,50.87
MissFortune,UTILITY,232,102,130,43.97
MissFortune,MIDDLE,85,43,42,50.59
MissFortune,TOP,31,8,23,25.81
MissFortune,,4,0,4,0
MissFortune,JUNGLE,11,6,5,54.55
Swain,UTILITY,2877,1555,1322,54.05
Swain,MIDDLE,930,515,415,55.38
Swain,BOTTOM,836,442,394,52.87
Swain,TOP,391,240,151,61.38
Swain,,6,3,3,50
Swain,JUNGLE,13,0,13,0
Ahri,TOP,97,45,52,46.39
Ahri,MIDDLE,7006,3522,3484,50.27
Ahri,BOTTOM,76,51,25,67.11
