Name,Role,Opponent,Games,Wins,Losses,WR
Singed,TOP,Chogath,176,100,76,56.82
Singed,TOP,Garen,437,217,220,49.66
Singed,TOP,Tryndamere,172,92,80,53.49
Singed,TOP,Rumble,54,31,23,57.41
Singed,TOP,Sejuani,8,5,3,62.5
Singed,TOP,DrMundo,176,88,88,50
Singed,TOP,Yorick,160,83,77,51.88
Singed,TOP,Trundle,124,50,74,40.32
Singed,TOP,Quinn,92,50,42,54.35
Singed,TOP,Kled,64,25,39,39.06
Singed,TOP,Gangplank,119,64,55,53.78
Singed,TOP,Heimerdinger,70,32,38,45.71
Singed,TOP,TahmKench,85,44,41,51.76
Singed,TOP,Nasus,210,99,111,47.14
Singed,TOP,Volibear,137,72,65,52.55
Singed,TOP,Urgot,156,69,87,44.23
Singed,TOP,Camille,83,53,30,63.86
Singed,TOP,Malzahar,13,7,6,53.85
Singed,TOP,Akali,34,20,14,58.82
Singed,TOP,Aatrox,246,134,112,54.47
Singed,TOP,Ornn,111,70,41,63.06
Singed,TOP,Gwen,72,41,31,56.94
Singed,TOP,Vladimir,73,40,33,54.79
Singed,TOP,Kayle,185,71,114,38.38
Singed,TOP,Jax,183,88,95,48.09
Singed,TOP,Mordekaiser,293,156,137,53.24
Singed,TOP,Varus,36,20,16,55.56
Singed,TOP,Nocturne,6,0,6,0
Singed,TOP,Sett,333,179,154,53.75
Singed,TOP,Darius,320,155,165,48.44
Singed,TOP,Warwick,103,54,49,52.43
Singed,TOP,Irelia,112,76,36,67.86
Singed,TOP,Malphite,153,81,72,52.94
Singed,TOP,Illaoi,116,68,48,58.62
Singed,TOP,Shen,118,51,67,43.22
Singed,TOP,Ambessa,158,90,68,56.96
Singed,TOP,Yone,147,89,58,60.54
Singed,TOP,Swain,26,10,16,38.46
Singed,TOP,Renekton,86,42,44,48.84
Singed,TOP,Maokai,12,9,3,75
Singed,TOP,Rengar,5,2,3,40
Singed,TOP,Skarner,9,9,0,100
Singed,TOP,KSante,115,67,48,58.26
Singed,TOP,Sion,236,133,103,56.36
Singed,TOP,Teemo,160,71,89,44.38
Singed,TOP,Ryze,34,16,18,47.06
Singed,TOP,Gnar,109,64,45,58.72
Singed,TOP,Mel,19,12,7,63.16
Singed,TOP,Riven,128,67,61,52.34
Singed,TOP,Fiora,76,28,48,36.84
Singed,TOP,Kayn,17,9,8,52.94
Singed,TOP,Poppy,43,15,28,34.88
Singed,TOP,Gragas,105,75,30,71.43
Singed,TOP,Aurora,38,12,26,31.58
Singed,TOP,RekSai,6,0,6,0
Singed,TOP,Zed,6,0,6,0
Singed,TOP,Pantheon,51,29,22,56.86
Singed,TOP,Karma,28,11,17,39.29
Singed,TOP,Kennen,33,14,19,42.42
Singed,TOP,Alistar,6,0,6,0
Singed,TOP,Diana,9,3,6,33.33
Singed,TOP,Yasuo,53,19,34,35.85
Singed,TOP,TwistedFate,9,6,3,66.67
Singed,TOP,Jayce,90,59,31,65.56
Singed,TOP,Belveth,3,0,3,0
Singed,TOP,Twitch,3,0,3,0
Singed,TOP,Naafiri,7,6,1,85.71
Singed,TOP,Ziggs,6,3,3,50
Singed,TOP,MonkeyKing,31,25,6,80.65
Singed,TOP,Udyr,27,15,12,55.56
Singed,TOP,Vayne,54,23,31,42.59
Singed,TOP,Vex,3,3,0,100
Singed,TOP,Lissandra,3,0,3,0
Singed,TOP,Shaco,9,9,0,100
Singed,TOP,Veigar,3,0,3,0
Singed,TOP,Olaf,37,17,20,45.95
Singed,TOP,Smolder,19,13,6,68.42
Singed,TOP,Viktor,5,1,4,20
Singed,TOP,Cassiopeia,11,5,6,45.45
Singed,TOP,Briar,9,5,4,55.56
Singed,TOP,Talon,4,2,2,50
Singed,TOP,FiddleSticks,5,5,0,100
Singed,TOP,Vi,14,12,2,85.71
Singed,TOP,Morgana,5,0,5,0
Singed,TOP,Galio,14,8,6,57.14
Singed,TOP,Fizz,2,2,0,100
Singed,TOP,Zac,17,2,15,11.76
Singed,TOP,Katarina,2,2,0,100
Singed,TOP,Pyke,3,3,0,100
Singed,TOP,LeeSin,10,0,10,0
Singed,TOP,Zeri,3,0,3,0
Singed,TOP,Zoe,3,3,0,100
Singed,TOP,Lucian,3,3,0,100
Singed,TOP,Graves,3,3,0,100
Singed,TOP,Sylas,21,3,18,14.29
Singed,TOP,Kalista,3,3,0,100
Singed,TOP,Qiyana,6,6,0,100
Singed,TOP,JarvanIV,3,0,3,0
Singed,TOP,Brand,3,0,3,0
Singed,TOP,Caitlyn,9,6,3,66.67
Singed,TOP,Velkoz,3,3,0,100
Singed,TOP,Ashe,6,3,3,50
Singed,TOP,AurelionSol,6,3,3,50
