Name,Role,Games,Wins,Losses,WR
Singed,TOP,7091,3670,3421,51.76
Singed,JUNGLE,486,211,275,43.42
Singed,MIDDLE,378,235,143,62.17
Singed,UTILITY,371,161,210,43.4
Singed,BOTTOM,179,97,82,54.19
Singed,,8,2,6,25
LeeSin,JUNGLE,45435,21988,23447,48.39
LeeSin,MIDDLE,494,239,255,48.38
LeeSin,TOP,1083,517,566,47.74
LeeSin,,33,3,30,9.09
LeeSin,UTILITY,864,366,498,42.36
LeeSin,BOTTOM,99,59,40,59.6
Yasuo,MIDDLE,47277,23748,23529,50.23
Yasuo,TOP,8335,4147,4188,49.75
Yasuo,BOTTOM,5078,2638,2440,51.95
Yasuo,,64,8,56,12.5
Yasuo,JUNGLE,205,79,126,38.54
Yasuo,UTILITY,311,103,208,33.12
Caitlyn,BOTTOM,83326,42016,41310,50.42
Caitlyn,MIDDLE,1196,563,633,47.07
Caitlyn,TOP,710,304,406,42.82
Caitlyn,UTILITY,373,129,244,34.58
Caitlyn,,82,6,76,7.32
Caitlyn,JUNGLE,19,2,17,10.53
Yuumi,UTILITY,23877,11698,12179,48.99
Yuumi,,23,0,23,0
Yuumi,JUNGLE,97,4,93,4.12
Yuumi,TOP,50,10,40,20
Yuumi,MIDDLE,73,10,63,13.7
Yuumi,BOTTOM,84,16,68,19.05
Chogath,TOP,21276,10799,10477,50.76
Chogath,MIDDLE,10821,5796,5025,53.56
Chogath,UTILITY,2032,1009,1023,49.66
Chogath,JUNGLE,1905,877,1028,46.04
Chogath,BOTTOM,546,299,247,54.76
Chogath,,15,0,15,0
Viego,JUNGLE,44246,22220,22026,50.22
Viego,MIDDLE,599,302,297,50.42
Viego,TOP,358,184,174,51.4
Viego,UTILITY,116,52,64,44.83
Viego,,40,0,40,0
Viego,BOTTOM,34,15,19,44.12
Galio,MIDDLE,21359,11056,10303,51.76
Galio,UTILITY,4426,2174,2252,49.12
Galio,TOP,1210,620,590,51.24
Galio,JUNGLE,107,31,76,28.97
Galio,BOTTOM,128,53,75,41.41
Galio,,23,2,21,8.7
Sivir,BOTTOM,16177,8167,8010,50.49
Sivir,TOP,77,35,42,45.45
Sivir,MIDDLE,176,93,83,52.84
Sivir,JUNGLE,10,3,7,30
Sivir,,11,0,11,0
Sivir,UTILITY,48,32,16,66.67
Pyke,UTILITY,24256,11792,12464,48.61
Pyke,MIDDLE,415,203,212,48.92
Pyke,TOP,36,11,25,30.56
Pyke,,33,5,28,15.15
Pyke,JUNGLE,40,11,29,27.5
Pyke,BOTTOM,65,39,26,60
Jax,TOP,21431,10495,10936,48.97
Jax,JUNGLE,7186,3534,3652,49.18
Jax,UTILITY,313,134,179,42.81
Jax,MIDDLE,486,239,247,49.18
Jax,,53,3,50,5.66
Jax,BOTTOM,82,36,46,43.9
Nocturne,JUNGLE,38959,20589,18370,52.85
Nocturne,TOP,466,224,242,48.07
Nocturne,MIDDLE,328,182,146,55.49
Nocturne,UTILITY,58,17,41,29.31
Nocturne,,38,0,38,0
Nocturne,BOTTOM,10,0,10,0
Syndra,MIDDLE,18456,9368,9088,50.76
Syndra,UTILITY,487,224,263,46
Syndra,BOTTOM,505,242,263,47.92
Syndra,JUNGLE,24,3,21,12.5
Syndra,TOP,266,141,125,53.01
Syndra,,11,0,11,0
Smolder,BOTTOM,14041,6827,7214,48.62
Smolder,MIDDLE,3139,1444,1695,46
Smolder,TOP,1640,717,923,43.72
Smolder,UTILITY,149,40,109,26.85
Smolder,JUNGLE,13,7,6,53.85
Smolder,,8,0,8,0
Zyra,UTILITY,19435,10169,9266,52.32
Zyra,JUNGLE,9245,4533,4712,49.03
Zyra,MIDDLE,928,466,462,50.22
Zyra,BOTTOM,326,193,133,59.2
Zyra,TOP,141,65,76,46.1
Zyra,,20,0,20,0
Gragas,TOP,9025,4356,4669,48.27
Gragas,JUNGLE,5393,2504,2889,46.43
Gragas,UTILITY,880,422,458,47.95
Gragas,MIDDLE,1417,760,657,53.63
Gragas,BOTTOM,29,19,10,65.52
Gragas,,8,0,8,0
Kayn,JUNGLE,42553,21587,20966,50.73
Kayn,,45,0,45,0
Kayn,TOP,1894,910,984,48.05
Kayn,MIDDLE,125,45,80,36
Kayn,UTILITY,70,29,41,41.43
Kayn,BOTTOM,25,15,10,60
Mel,MIDDLE,30303,14348,15955,47.35
Mel,UTILITY,19887,9308,10579,46.8
Mel,TOP,1384,650,734,46.97
Mel,BOTTOM,9890,4881,5009,49.35
Mel,JUNGLE,60,15,45,25
Mel,,53,3,50,5.66
Jinx,BOTTOM,88523,45490,43033,51.39
