Name,Role,Opponent,Games,Wins,Losses,WR
Sett,TOP,Malphite,1773,869,904,49.01
Sett,TOP,Yorick,1676,802,874,47.85
Sett,TOP,Gwen,955,594,361,62.2
Sett,TOP,RekSai,27,15,12,55.56
Sett,TOP,Warwick,1133,568,565,50.13
Sett,TOP,Pantheon,1062,579,483,54.52
Sett,TOP,Braum,21,18,3,85.71
Sett,TOP,Darius,4592,2481,2111,54.03
Sett,TOP,Singed,526,265,261,50.38
Sett,TOP,KSante,1339,710,629,53.02
Sett,TOP,Gnar,1043,521,522,49.95
Sett,TOP,Chogath,2174,1190,984,54.74
Sett,TOP,Camille,818,399,419,48.78
Sett,TOP,Riven,1135,607,528,53.48
Sett,TOP,Yone,1896,1112,784,58.65
Sett,TOP,Ambessa,1478,828,650,56.02
Sett,TOP,Kled,401,247,154,61.6
Sett,TOP,Fiora,1062,617,445,58.1
Sett,TOP,Illaoi,1490,726,764,48.72
Sett,TOP,Volibear,1867,854,1013,45.74
Sett,TOP,Mordekaiser,3669,1786,1883,48.68
Sett,TOP,Yasuo,642,300,342,46.73
Sett,TOP,DrMundo,1445,722,723,49.97
Sett,TOP,Jayce,796,429,367,53.89
Sett,TOP,TahmKench,947,507,440,53.54
Sett,TOP,Jax,1729,908,821,52.52
Sett,TOP,Vayne,553,257,296,46.47
Sett,TOP,Aatrox,2622,1342,1280,51.18
Sett,TOP,Rumble,539,273,266,50.65
Sett,TOP,Mel,124,79,45,63.71
Sett,TOP,Gragas,797,428,369,53.7
Sett,TOP,Sylas,198,112,86,56.57
Sett,TOP,Shen,1235,632,603,51.17
Sett,TOP,Irelia,1117,652,465,58.37
Sett,TOP,Gangplank,887,513,374,57.84
Sett,TOP,Diana,69,37,32,53.62
Sett,TOP,Teemo,1895,877,1018,46.28
Sett,TOP,Malzahar,118,51,67,43.22
Sett,TOP,Urgot,1454,732,722,50.34
Sett,TOP,Garen,3984,1991,1993,49.97
Sett,TOP,Ezreal,41,28,13,68.29
Sett,TOP,Heimerdinger,721,365,356,50.62
Sett,TOP,Tryndamere,1130,609,521,53.89
Sett,TOP,Akali,471,235,236,49.89
Sett,TOP,Vladimir,499,253,246,50.7
Sett,TOP,Swain,280,146,134,52.14
Sett,TOP,Kayn,218,150,68,68.81
Sett,TOP,Milio,5,3,2,60
Sett,TOP,Kayle,1505,712,793,47.31
Sett,TOP,Kennen,578,325,253,56.23
Sett,TOP,Sion,1767,871,896,49.29
Sett,TOP,Azir,32,13,19,40.63
Sett,TOP,Renekton,1555,848,707,54.53
Sett,TOP,Nasus,1406,696,710,49.5
Sett,TOP,Trundle,1019,489,530,47.99
Sett,TOP,Quinn,525,298,227,56.76
Sett,TOP,Soraka,25,18,7,72
Sett,TOP,Ornn,1092,573,519,52.47
Sett,TOP,Ashe,86,58,28,67.44
Sett,TOP,Draven,19,16,3,84.21
Sett,TOP,Lillia,40,18,22,45
Sett,TOP,Fizz,36,21,15,58.33
Sett,TOP,Poppy,302,149,153,49.34
Sett,TOP,Olaf,514,288,226,56.03
Sett,TOP,Qiyana,31,21,10,67.74
Sett,TOP,Graves,39,16,23,41.03
Sett,TOP,Akshan,77,40,37,51.95
Sett,TOP,Orianna,12,9,3,75
Sett,TOP,TwistedFate,52,16,36,30.77
Sett,TOP,MonkeyKing,325,152,173,46.77
Sett,TOP,Varus,147,92,55,62.59
