Name,Role,Games,Wins,Losses,WR
Sett,TOP,70264,36538,33726,52
Sett,JUNGLE,1802,870,932,48.28
Sett,MIDDLE,3103,1722,1381,55.49
Sett,UTILITY,2945,1349,1596,45.81
Sett,BOTTOM,998,520,478,52.1
Sett,,120,0,120,0
Warwick,JUNGLE,57388,30130,27258,52.5
Warwick,TOP,18345,9490,8855,51.73
Warwick,MIDDLE,428,210,218,49.07
Warwick,UTILITY,351,124,227,35.33
Warwick,BOTTOM,110,50,60,45.45
Warwick,,105,3,102,2.86
Shen,MIDDLE,1823,969,854,53.15
Shen,TOP,21746,10920,10826,50.22
Shen,UTILITY,7310,3661,3649,50.08
Shen,BOTTOM,141,82,59,58.16
Shen,JUNGLE,1938,927,1011,47.83
Shen,,19,0,19,0
Tristana,BOTTOM,44084,22049,22035,50.02
Tristana,TOP,602,274,328,45.51
Tristana,MIDDLE,4102,1995,2107,48.63
Tristana,UTILITY,242,90,152,37.19
Tristana,JUNGLE,168,75,93,44.64
Tristana,,49,0,49,0
Blitzcrank,UTILITY,38154,18542,19612,48.6
Blitzcrank,BOTTOM,217,68,149,31.34
Blitzcrank,JUNGLE,321,90,231,28.04
Blitzcrank,MIDDLE,247,99,148,40.08
Blitzcrank,TOP,216,82,134,37.96
Blitzcrank,,52,0,52,0
Malphite,TOP,31594,16267,15327,51.49
Malphite,UTILITY,7587,3642,3945,48
Malphite,JUNGLE,2496,1105,1391,44.27
Malphite,MIDDLE,7256,3753,3503,51.72
Malphite,BOTTOM,367,145,222,39.51
Malphite,,74,6,68,8.11
Ekko,JUNGLE,23322,11638,11684,49.9
Ekko,MIDDLE,21009,10629,10380,50.59
Ekko,UTILITY,516,249,267,48.26
Ekko,TOP,826,356,470,43.1
Ekko,BOTTOM,197,80,117,40.61
Ekko,,44,0,44,0
Hwei,MIDDLE,25447,12658,12789,49.74
Hwei,BOTTOM,3592,1923,1669,53.54
Hwei,UTILITY,5297,2632,2665,49.69
Hwei,TOP,517,260,257,50.29
Hwei,JUNGLE,22,3,19,13.64
Hwei,,34,0,34,0
Lucian,BOTTOM,31937,15477,16460,48.46
Lucian,MIDDLE,1657,703,954,42.43
Lucian,TOP,682,294,388,43.11
Lucian,JUNGLE,42,9,33,21.43
Lucian,UTILITY,181,83,98,45.86
Lucian,,21,0,21,0
Maokai,UTILITY,15997,8140,7857,50.88
Maokai,TOP,3570,1837,1733,51.46
Maokai,JUNGLE,3477,1793,1684,51.57
Maokai,MIDDLE,158,75,83,47.47
Maokai,BOTTOM,102,52,50,50.98
Maokai,,18,0,18,0
