Name,Games,Wins,Losses,Bans,EffectiveBans,WR
Nautilus,16789,8209,8580,20109,19639,48.9
MasterYi,16536,8416,8120,33253,31876,50.9
Darius,29341,14734,14607,49734,46573,50.22
Sylas,15250,7651,7599,12375,12159,50.17
Shaco,14696,7101,7595,59694,54896,48.32
Vayne,16068,8178,7890,15201,14902,50.9
Fizz,8136,4146,3990,16867,16472,50.96
Chogath,20571,10419,10152,9550,9396,50.65
Mel,34080,16733,17347,136378,112850,49.1
Ashe,27682,13697,13985,13283,13008,49.48
Sett,26024,13592,12432,12738,12447,52.23
Warwick,24931,12997,11934,59569,53901,52.13
Shen,10558,5445,5113,1151,1151,51.57
Tristana,14205,7220,6985,5727,5675,50.83
Blitzcrank,12158,5824,6334,40906,38738,47.9
Malphite,12642,6621,6021,9388,9261,52.37
Ekko,12334,6102,6232,4236,4221,49.47
Hwei,11770,5900,5870,6965,6893,50.13
Lucian,9093,4372,4721,2003,2000,48.08
Maokai,6941,3679,3262,1627,1627,53
Leblanc,6087,2851,3236,11459,11301,46.84
None,0,0,0,59215,49103,NaN
LeeSin,15643,7199,8444,9117,8961,46.02
Yorick,14112,8011,6101,22833,22125,56.77
Volibear,17350,8924,8426,9958,9843,51.44
Diana,20964,10519,10445,14476,14219,50.18
Rammus,4854,2559,2295,9576,9447,52.72
Yone,30081,14557,15524,21608,21021,48.39
Yasuo,30855,15519,15336,41147,38953,50.3
Jhin,27855,14117,13738,12984,12670,50.68
Lux,42219,21207,21012,53970,49382,50.23
Mordekaiser,24256,12690,11566,35192,33627,52.32
Qiyana,5478,2484,2994,764,764,45.35
Irelia,14015,6811,7204,14706,14413,48.6
Ezreal,26935,12622,14313,10853,10673,46.86
Rell,8406,4107,4299,3077,3061,48.86
Caitlyn,37255,18813,18442,63416,58372,50.5
Morgana,20884,10815,10069,61947,56894,51.79
Kalista,7425,3402,4023,2765,2754,45.82
Shyvana,4317,2358,1959,1242,1242,54.62
Sejuani,5812,2992,2820,966,959,51.48
Pantheon,25996,12987,13009,10131,10021,49.96
Singed,4340,2387,1953,1770,1770,55
Zed,15301,7060,8241,33448,31937,46.14
Teemo,21764,11723,10041,51423,47892,53.86
Lulu,12554,6175,6379,19437,18721,49.19
Sion,12489,6537,5952,2861,2840,52.34
Urgot,7408,4006,3402,5990,5940,54.08
Amumu,15077,8266,6811,17307,16892,54.83
Zac,5636,2835,2801,2965,2949,50.3
Poppy,9473,4776,4697,4494,4460,50.42
Twitch,12937,6527,6410,17674,17251,50.45
Fiora,7571,3488,4083,9537,9392,46.07
Katarina,13625,6130,7495,12307,12113,44.99
Viktor,10626,5338,5288,11700,11490,50.24
Braum,7241,3661,3580,3060,3031,50.56
Brand,10917,5454,5463,12108,11892,49.96
Karma,10854,5434,5420,4957,4901,50.06
Jayce,6511,2950,3561,2260,2252,45.31
Kaisa,22047,10348,11699,4485,4470,46.94
Pyke,17990,8137,9853,44365,42104,45.23
Renekton,7182,3639,3543,4425,4403,50.67
Kayn,24578,12219,12359,20049,19458,49.72
Draven,8806,4254,4552,33853,32173,48.31
Yuumi,14960,7542,7418,12715,12393,50.41
Zoe,7295,3090,4205,4059,4031,42.36
Taric,3404,1872,1532,1249,1244,54.99
Akali,16423,7926,8497,20768,20206,48.26
Gragas,9608,4455,5153,3147,3141,46.37
Zyra,10213,5544,4669,13444,13160,54.28
Aurora,15089,7321,7768,13648,13385,48.52
Khazix,9871,4581,5290,6819,6754,46.41
Nocturne,13507,7012,6495,26966,26069,51.91
Gangplank,6927,3361,3566,2545,2518,48.52
Gwen,9941,4570,5371,5956,5886,45.97
Vi,13400,6775,6625,3799,3775,50.56
Soraka,9852,5067,4785,4859,4782,51.43
Samira,15202,7442,7760,21741,21072,48.95
Illaoi,7802,4131,3671,30856,29688,52.95
Jax,13006,6578,6428,7851,7766,50.58
XinZhao,8862,4680,4182,2017,2000,52.81
Kennen,5811,2654,3157,2396,2396,45.67
Vladimir,8506,4316,4190,6785,6724,50.74
Viego,18950,9606,9344,19001,18577,50.69
Velkoz,9816,5202,4614,3965,3945,53
Tryndamere,9206,4512,4694,8060,7982,49.01
Aatrox,15650,7415,8235,14986,14642,47.38
Varus,12606,6344,6262,2746,2746,50.33
Kindred,8607,3912,4695,3541,3525,45.45
Milio,8543,4430,4113,3431,3399,51.86
KogMaw,5344,2822,2522,3736,3717,52.81
Ambessa,9483,4651,4832,20513,19897,49.05
Graves,8421,3988,4433,4065,4039,47.36
Ahri,21562,10536,11026,11290,11169,48.86
Nilah,8912,4470,4442,11351,11168,50.16
Belveth,4455,2223,2232,4478,4468,49.9
Sona,5977,3127,2850,703,703,52.32
Renata,3945,1952,1993,704,704,49.48
Ivern,3446,1619,1827,1164,1164,46.98
Veigar,17696,9250,8446,11144,10908,52.27
Jinx,31836,16387,15449,20406,19823,51.47
Seraphine,17110,8506,8604,6998,6916,49.71
Rakan,8400,4292,4108,986,986,51.1
Vex,9267,4638,4629,9058,8963,50.05
Corki,5131,2362,2769,3095,3078,46.03
Lillia,10379,5197,5182,8344,8267,50.07
Zeri,7015,3360,3655,1043,1043,47.9
Briar,15692,8082,7610,19815,19253,51.5
DrMundo,9953,5397,4556,7317,7246,54.22
Swain,16921,9037,7884,12020,11826,53.41
MonkeyKing,7872,4055,3817,5301,5271,51.51
Malzahar,12085,6672,5413,25856,24909,55.21
Orianna,7096,3462,3634,1961,1954,48.79
Kayle,11721,6011,5710,5534,5477,51.28
Leona,11814,6139,5675,15381,15046,51.96
Talon,9671,4453,5218,2362,2359,46.04
Alistar,5175,2495,2680,1959,1956,48.21
Garen,23166,12079,11087,18534,18046,52.14
Heimerdinger,8602,4561,4041,14222,13801,53.02
MissFortune,33570,17245,16325,24590,23511,51.37
Ryze,4629,2291,2338,603,603,49.49
TwistedFate,5588,2621,2967,371,371,46.9
Udyr,5933,2939,2994,3210,3188,49.54
Quinn,5435,2697,2738,2964,2953,49.62
Nami,14673,7473,7200,2442,2432,50.93
Azir,5734,2759,2975,1534,1529,48.12
Neeko,11735,5564,6171,3793,3748,47.41
FiddleSticks,8088,4121,3967,2823,2807,50.95
Smolder,12428,6042,6386,3742,3736,48.62
TahmKench,17187,8470,8717,23068,22411,49.28
Aphelios,11132,5541,5591,3229,3204,49.78
Evelynn,8485,3944,4541,5202,5169,46.48
Trundle,8670,4667,4003,4559,4524,53.83
Sivir,7516,3938,3578,1701,1698,52.39
Rengar,6996,2805,4191,3333,3333,40.09
Lissandra,3936,1977,1959,1727,1724,50.23
Nasus,12314,6392,5922,8707,8626,51.91
Naafiri,7227,3584,3643,4365,4356,49.59
Senna,13799,7082,6717,3778,3766,51.32
Galio,11167,5962,5205,7946,7843,53.39
Gnar,6486,2995,3491,1640,1640,46.18
Riven,6980,2964,4016,2937,2918,42.46
Hecarim,5753,2783,2970,3397,3391,48.37
AurelionSol,7348,3923,3425,2870,2855,53.39
Ornn,6642,3503,3139,1330,1325,52.74
Kassadin,3348,1749,1599,2023,2020,52.24
Nidalee,4169,1745,2424,786,783,41.86
