Name,Opponent,Games,Wins,Losses,WR
Ambessa,Yone,322,150,172,46.58
Ambessa,Viego,291,184,107,63.23
Ambessa,Yasuo,348,161,187,46.26
Ambessa,Ezreal,461,251,210,54.45
Ambessa,Lux,400,198,202,49.5
Ambessa,Vladimir,84,44,40,52.38
Ambessa,Kayn,217,99,118,45.62
Ambessa,Velkoz,66,26,40,39.39
Ambessa,Xayah,137,63,74,45.99
Ambessa,Leblanc,106,61,45,57.55
Ambessa,Galio,231,119,112,51.52
Ambessa,Hecarim,50,28,22,56
Ambessa,Shen,159,59,100,37.11
Ambessa,Kaisa,353,176,177,49.86
Ambessa,Nami,154,63,91,40.91
Ambessa,Akali,179,89,90,49.72
Ambessa,LeeSin,382,213,169,55.76
Ambessa,Hwei,110,57,53,51.82
Ambessa,Pyke,116,75,41,64.66
Ambessa,Gnar,87,62,25,71.26
Ambessa,Mel,398,217,181,54.52
Ambessa,Twitch,108,53,55,49.07
Ambessa,Pantheon,303,140,163,46.2
Ambessa,Alistar,73,48,25,65.75
Ambessa,Nocturne,231,115,116,49.78
Ambessa,Urgot,50,25,25,50
Ambessa,Samira,129,70,59,54.26
Ambessa,Shaco,124,60,64,48.39
Ambessa,AurelionSol,72,41,31,56.94
Ambessa,Caitlyn,392,190,202,48.47
Ambessa,Brand,106,51,55,48.11
Ambessa,Warwick,213,111,102,52.11
Ambessa,Ornn,121,62,59,51.24
Ambessa,Katarina,119,63,56,52.94
Ambessa,Tristana,111,69,42,62.16
Ambessa,Renekton,183,70,113,38.25
Ambessa,JarvanIV,177,99,78,55.93
Ambessa,Seraphine,148,91,57,61.49
Ambessa,Jhin,313,196,117,62.62
Ambessa,Janna,72,32,40,44.44
Ambessa,Vayne,203,80,123,39.41
Ambessa,Ahri,257,121,136,47.08
Ambessa,Yuumi,118,74,44,62.71
Ambessa,Irelia,119,56,63,47.06
Ambessa,Lillia,92,45,47,48.91
Ambessa,Volibear,170,74,96,43.53
Ambessa,Jax,166,96,70,57.83
Ambessa,Ashe,348,172,176,49.43
Ambessa,Camille,131,67,64,51.15
Ambessa,Varus,182,112,70,61.54
Ambessa,Malzahar,177,98,79,55.37
Ambessa,Jayce,105,57,48,54.29
Ambessa,Sion,157,59,98,37.58
Ambessa,Amumu,185,78,107,42.16
Ambessa,Gwen,66,41,25,62.12
Ambessa,Diana,291,142,149,48.8
Ambessa,Lucian,149,84,65,56.38
Ambessa,Kennen,47,15,32,31.91
Ambessa,Zyra,119,55,64,46.22
Ambessa,Briar,62,29,33,46.77
Ambessa,TwistedFate,80,40,40,50
Ambessa,Sivir,99,46,53,46.46
Ambessa,Mordekaiser,174,74,100,42.53
Ambessa,Nautilus,280,132,148,47.14
Ambessa,Nunu,117,59,58,50.43
Ambessa,Lulu,288,164,124,56.94
Ambessa,Belveth,34,17,17,50
Ambessa,MissFortune,330,180,150,54.55
Ambessa,Leona,179,99,80,55.31
Ambessa,Thresh,289,159,130,55.02
Ambessa,Trundle,97,56,41,57.73
Ambessa,Smolder,143,57,86,39.86
Ambessa,Khazix,78,39,39,50
Ambessa,Zed,174,93,81,53.45
Ambessa,Jinx,438,208,230,47.49
Ambessa,Sona,47,18,29,38.3
Ambessa,Yorick,119,59,60,49.58
Ambessa,Elise,175,80,95,45.71
Ambessa,Veigar,145,76,69,52.41
Ambessa,Poppy,185,86,99,46.49
Ambessa,Swain,156,69,87,44.23
Ambessa,Ekko,154,84,70,54.55
Ambessa,TahmKench,151,80,71,52.98
Ambessa,Heimerdinger,53,22,31,41.51
Ambessa,Syndra,129,55,74,42.64
Ambessa,Karma,261,147,114,56.32
Ambessa,Darius,268,130,138,48.51
Ambessa,FiddleSticks,55,12,43,21.82
Ambessa,Chogath,181,80,101,44.2
Ambessa,MonkeyKing,134,57,77,42.54
Ambessa,Teemo,146,87,59,59.59
Ambessa,Malphite,190,88,102,46.32
Ambessa,Udyr,66,44,22,66.67
Ambessa,Aurora,167,95,72,56.89
Ambessa,Aphelios,81,31,50,38.27
Ambessa,Morgana,118,60,58,50.85
Ambessa,Zac,137,61,76,44.53
Ambessa,Aatrox,229,136,93,59.39
Ambessa,Viktor,175,94,81,53.71
Ambessa,Braum,156,82,74,52.56
Ambessa,Akshan,56,27,29,48.21
Ambessa,Gragas,147,91,56,61.9
Ambessa,Blitzcrank,176,67,109,38.07
Ambessa,Sett,283,142,141,50.18
Ambessa,Maokai,83,49,34,59.04
Ambessa,Nasus,81,33,48,40.74
Ambessa,DrMundo,44,16,28,36.36
Ambessa,Draven,114,56,58,49.12
Ambessa,Taliyah,68,28,40,41.18
Ambessa,Talon,88,45,43,51.14
Ambessa,Garen,220,112,108,50.91
Ambessa,MasterYi,149,76,73,51.01
Ambessa,Graves,103,50,53,48.54
Ambessa,KogMaw,62,41,21,66.13
Ambessa,Milio,127,39,88,30.71
Ambessa,Nilah,58,22,36,37.93
Ambessa,Rammus,58,32,26,55.17
Ambessa,Xerath,182,69,113,37.91
Ambessa,Riven,113,61,52,53.98
Ambessa,Vi,171,56,115,32.75
Ambessa,Renata,46,15,31,32.61
Ambessa,Kayle,75,29,46,38.67
Ambessa,Soraka,54,26,28,48.15
Ambessa,Orianna,85,42,43,49.41
Ambessa,Rakan,111,61,50,54.95
Ambessa,Bard,53,22,31,41.51
Ambessa,Nidalee,73,45,28,61.64
Ambessa,Ryze,92,46,46,50
Ambessa,Kalista,54,28,26,51.85
Ambessa,Skarner,69,41,28,59.42
Ambessa,Tryndamere,79,40,39,50.63
Ambessa,KSante,218,111,107,50.92
Ambessa,Karthus,49,22,27,44.9
Ambessa,Fizz,43,20,23,46.51
Ambessa,Vex,100,60,40,60
Ambessa,Kindred,73,45,28,61.64
Ambessa,Naafiri,73,42,31,57.53
Ambessa,Taric,41,18,23,43.9
Ambessa,Illaoi,87,35,52,40.23
Ambessa,Sylas,242,121,121,50
Ambessa,Evelynn,35,23,12,65.71
Ambessa,Senna,89,53,36,59.55
Ambessa,Gangplank,86,44,42,51.16
Ambessa,Kled,40,23,17,57.5
Ambessa,Rengar,39,14,25,35.9
Ambessa,Neeko,74,28,46,37.84
Ambessa,XinZhao,163,77,86,47.24
Ambessa,Annie,46,26,20,56.52
Ambessa,Zilean,34,9,25,26.47
Ambessa,Anivia,55,24,31,43.64
Ambessa,Zoe,78,48,30,61.54
Ambessa,Azir,90,40,50,44.44
Ambessa,Kassadin,46,21,25,45.65
Ambessa,Singed,42,17,25,40.48
Ambessa,Corki,67,37,30,55.22
Ambessa,Rell,125,49,76,39.2
Ambessa,Cassiopeia,52,24,28,46.15
Ambessa,Lissandra,36,16,20,44.44
Ambessa,Fiora,60,28,32,46.67
Ambessa,Quinn,45,22,23,48.89
Ambessa,Olaf,34,18,16,52.94
Ambessa,Ziggs,85,50,35,58.82
Ambessa,Sejuani,119,66,53,55.46
Ambessa,Qiyana,27,19,8,70.37
Ambessa,Ivern,41,21,20,51.22
Ambessa,Rumble,61,47,14,77.05
Ambessa,Shyvana,32,10,22,31.25
Ambessa,Zeri,54,25,29,46.3
Ambessa,RekSai,27,8,19,29.63
Volibear,Yone,366,191,175,52.19
Volibear,Viego,319,150,169,47.02
Volibear,Yasuo,413,214,199,51.82
Volibear,Ezreal,472,246,226,52.12
Volibear,Lux,595,343,252,57.65
Volibear,Urgot,108,50,58,46.3
Volibear,Diana,372,205,167,55.11
Volibear,Syndra,181,104,77,57.46
Volibear,MissFortune,424,229,195,54.01
Volibear,Braum,173,83,90,47.98
Volibear,Kayle,142,58,84,40.85
Volibear,Kindred,80,40,40,50
Volibear,AurelionSol,128,58,70,45.31
Volibear,Caitlyn,590,316,274,53.56
Volibear,Morgana,236,123,113,52.12
Volibear,Ornn,148,97,51,65.54
Volibear,Lillia,141,66,75,46.81
Volibear,Zed,249,120,129,48.19
Volibear,Tristana,240,107,133,44.58
Volibear,Nami,246,128,118,52.03
Volibear,Mordekaiser,398,208,190,52.26
Volibear,Poppy,187,106,81,56.68
Volibear,Varus,196,102,94,52.04
Volibear,Pyke,230,145,85,63.04
Volibear,Illaoi,145,54,91,37.24
Volibear,Briar,147,76,71,51.7
Volibear,Taliyah,74,40,34,54.05
Volibear,Twitch,157,77,80,49.04
Volibear,Nasus,173,77,96,44.51
Volibear,Shaco,183,111,72,60.66
Volibear,Xerath,224,113,111,50.45
Volibear,Lulu,327,157,170,48.01
Volibear,Yorick,171,107,64,62.57
Volibear,Katarina,149,85,64,57.05
Volibear,Neeko,96,50,46,52.08
Volibear,Darius,515,285,230,55.34
Volibear,Kayn,292,148,144,50.68
Volibear,Veigar,244,138,106,56.56
Volibear,Gangplank,151,91,60,60.26
Volibear,Pantheon,391,223,168,57.03
Volibear,TwistedFate,55,30,25,54.55
Volibear,Kaisa,349,167,182,47.85
Volibear,TahmKench,255,127,128,49.8
Volibear,Ziggs,85,51,34,60
Volibear,Vi,279,142,137,50.9
Volibear,Galio,268,142,126,52.99
Volibear,Smolder,203,101,102,49.75
Volibear,Vladimir,132,77,55,58.33
Volibear,RekSai,44,23,21,52.27
Volibear,Akali,225,114,111,50.67
Volibear,Ashe,447,260,187,58.17
Volibear,Bard,62,26,36,41.94
Volibear,Ambessa,170,96,74,56.47
Volibear,Khazix,105,63,42,60
Volibear,Vex,126,53,73,42.06
Volibear,Aphelios,145,61,84,42.07
Volibear,Jax,211,107,104,50.71
Volibear,Chogath,281,126,155,44.84
Volibear,Malphite,194,90,104,46.39
Volibear,MasterYi,260,148,112,56.92
Volibear,Lucian,191,111,80,58.12
Volibear,Teemo,225,106,119,47.11
Volibear,Graves,130,56,74,43.08
Volibear,Sylas,280,167,113,59.64
Volibear,Irelia,185,95,90,51.35
Volibear,Soraka,116,56,60,48.28
Volibear,Udyr,114,66,48,57.89
Volibear,Corki,132,80,52,60.61
Volibear,Alistar,115,64,51,55.65
Volibear,Trundle,119,64,55,53.78
Volibear,Mel,402,222,180,55.22
Volibear,Janna,63,29,34,46.03
Volibear,Jhin,481,224,257,46.57
Volibear,Leblanc,134,85,49,63.43
Volibear,Nilah,93,45,48,48.39
Volibear,Thresh,433,239,194,55.2
Volibear,Olaf,59,27,32,45.76
Volibear,Karma,223,89,134,39.91
Volibear,Ekko,239,125,114,52.3
Volibear,Ahri,338,177,161,52.37
Volibear,Gwen,142,66,76,46.48
Volibear,Samira,234,133,101,56.84
Volibear,JarvanIV,178,112,66,62.92
Volibear,Elise,163,94,69,57.67
Volibear,Draven,108,59,49,54.63
Volibear,Leona,234,136,98,58.12
Volibear,Gnar,101,66,35,65.35
Volibear,Nocturne,309,170,139,55.02
