Name,Games,Wins,Losses,Bans,EffectiveBans,WR
Rammus,2127,1039,1088,3814,3792,48.85
Lulu,9335,4664,4671,18736,17310,49.96
Mel,12289,5921,6368,65619,51952,48.18
Thresh,11169,5584,5585,5853,5699,50
Caitlyn,15018,7478,7540,19060,17667,49.79
Leona,6101,3008,3093,6346,6233,49.3
LeeSin,11008,5252,5756,11326,10589,47.71
Lissandra,2411,1195,1216,892,892,49.56
Ambessa,4640,2332,2308,13327,12663,50.26
Volibear,6121,3157,2964,4117,4065,51.58
Veigar,5850,2954,2896,2174,2143,50.5
Vayne,7569,4015,3554,5187,5114,53.05
Seraphine,4324,2179,2145,1167,1155,50.39
Yone,10388,5046,5342,7535,7336,48.58
Viego,7978,4052,3926,8663,8392,50.79
Yasuo,11664,5835,5829,15728,14836,50.03
Ezreal,15518,7539,7979,5500,5385,48.58
Lux,13363,6469,6894,10840,10248,48.41
Teemo,5485,2751,2734,11052,10464,50.15
Jhin,11188,5495,5693,2577,2549,49.12
Blitzcrank,5660,2747,2913,19549,17964,48.53
Warwick,7641,3945,3696,11253,10728,51.63
Malzahar,6207,3167,3040,7987,7692,51.02
Irelia,4367,2084,2283,8317,8005,47.72
Morgana,5866,3073,2793,21876,20101,52.39
Yorick,4688,2433,2255,7419,7204,51.9
Mordekaiser,7696,3869,3827,14112,13388,50.27
Evelynn,1790,908,882,1856,1843,50.73
Riven,2522,1274,1248,1256,1250,50.52
MissFortune,11870,5990,5880,8639,8261,50.46
Swain,5710,3106,2604,3948,3890,54.4
Ahri,8576,4282,4294,4050,3984,49.93
Kayn,7081,3478,3603,5981,5830,49.12
Pyke,4977,2309,2668,11860,11370,46.39
MasterYi,5958,2897,3061,11567,11071,48.62
Draven,3087,1484,1603,9688,9357,48.07
Darius,11078,5728,5350,25202,23041,51.71
Viktor,5889,3029,2860,7520,7355,51.43
Gangplank,3443,1643,1800,2213,2183,47.72
Kaisa,10183,4903,5280,1325,1320,48.15
Nautilus,8311,4138,4173,11406,11040,49.79
Urgot,2907,1423,1484,1565,1554,48.95
Diana,9048,4509,4539,8248,8020,49.83
Syndra,4254,2065,2189,2924,2883,48.54
Braum,4737,2473,2264,2063,2045,52.21
Rengar,1694,759,935,945,931,44.81
Jinx,15266,8309,6957,7789,7605,54.43
None,0,0,0,28193,21902,NaN
TahmKench,5592,2854,2738,7237,7005,51.04
Illaoi,2853,1422,1431,7792,7510,49.84
Shaco,4568,2190,2378,23912,21849,47.94
Ryze,2380,1175,1205,331,331,49.37
Jax,5014,2440,2574,3053,3029,48.66
Sejuani,4101,2257,1844,663,663,55.04
Hwei,4121,2024,2097,3329,3301,49.11
Zac,3892,1894,1998,1782,1774,48.66
Camille,2601,1282,1319,1192,1183,49.29
Zed,6176,3055,3121,14550,13773,49.47
Kalista,2011,938,1073,798,798,46.64
Aurora,4992,2384,2608,6876,6709,47.76
JarvanIV,4949,2520,2429,1149,1146,50.92
Xerath,5291,2702,2589,4686,4553,51.07
Yuumi,5224,2653,2571,8033,7550,50.78
Chogath,7572,3992,3580,3411,3350,52.72
Sivir,3496,1830,1666,967,964,52.35
Ashe,12398,5991,6407,5234,5069,48.32
Samira,4435,2183,2252,6643,6506,49.22
Briar,3291,1747,1544,4277,4194,53.08
Malphite,6847,3459,3388,4202,4156,50.52
Sett,8509,4329,4180,3698,3623,50.88
Katarina,3782,1831,1951,3944,3887,48.41
Renata,1480,752,728,336,333,50.81
Pantheon,9795,4826,4969,3342,3292,49.27
Akali,5836,2827,3009,6144,5981,48.44
Trundle,3065,1523,1542,1389,1381,49.69
Vladimir,3654,1898,1756,2971,2914,51.94
Velkoz,3132,1559,1573,839,833,49.78
Xayah,3694,1872,1822,596,596,50.68
Leblanc,3667,1776,1891,10432,9857,48.43
Graves,4186,2161,2025,3632,3519,51.62
Zyra,4741,2402,2339,3912,3861,50.66
Poppy,4526,2255,2271,3180,3150,49.82
XinZhao,4509,2280,2229,1264,1252,50.57
Karma,7757,3837,3920,5465,5328,49.46
Sion,5141,2668,2473,1634,1617,51.9
Nocturne,7428,3819,3609,15182,14435,51.41
Soraka,2802,1369,1433,1441,1430,48.86
Nasus,3721,1933,1788,3602,3534,51.95
Renekton,3360,1668,1692,1788,1774,49.64
Skarner,2966,1495,1471,4903,4798,50.4
Neeko,2785,1359,1426,862,859,48.8
Varus,5862,2818,3044,907,907,48.07
Twitch,4180,2034,2146,4071,3994,48.66
Galio,7343,3722,3621,4920,4829,50.69
Hecarim,2100,1031,1069,1143,1143,49.1
Shen,4643,2418,2225,543,540,52.08
Nami,6325,3345,2980,951,946,52.89
Gragas,4678,2169,2509,1658,1632,46.37
Lillia,3357,1705,1652,3003,2961,50.79
Tryndamere,2170,1060,1110,1942,1926,48.85
MonkeyKing,4426,2356,2070,2216,2193,53.23
Gwen,3046,1517,1529,2264,2244,49.8
DrMundo,2978,1467,1511,2168,2153,49.26
TwistedFate,2070,994,1076,161,161,48.02
Vi,6967,3550,3417,2252,2233,50.95
Senna,3573,1762,1811,851,849,49.31
Cassiopeia,1705,908,797,1840,1825,53.26
Udyr,2124,924,1200,1076,1070,43.5
Smolder,4283,2166,2117,1450,1443,50.57
Amumu,7036,3822,3214,4612,4529,54.32
Fizz,2767,1322,1445,4428,4338,47.78
Azir,2692,1270,1422,484,481,47.18
Sylas,9230,4531,4699,9207,8963,49.09
Qiyana,1277,597,680,314,314,46.75
Ekko,4925,2514,2411,1326,1320,51.05
Fiora,2243,1129,1114,2745,2710,50.33
Nilah,2012,1049,963,3033,3004,52.14
Garen,9261,4862,4399,6958,6764,52.5
Maokai,2832,1423,1409,560,560,50.25
Kindred,2547,1133,1414,1376,1356,44.48
Rakan,3425,1752,1673,341,338,51.15
Heimerdinger,2531,1242,1289,2081,2062,49.07
Kayle,3096,1628,1468,1401,1398,52.58
AurelionSol,2462,1307,1155,1010,1004,53.09
Elise,5057,2518,2539,8034,7581,49.79
Milio,3932,2076,1856,2014,1997,52.8
