Name,Games,Wins,Losses,Bans,EffectiveBans,WR
Nocturne,44269,23364,20905,90913,85555,52.78
Blitzcrank,24269,11735,12534,79347,74825,48.35
Mel,65753,31182,34571,318207,259145,47.42
Karma,43060,21887,21173,35191,33635,50.83
Warwick,48436,25222,23214,81703,76668,52.07
Vladimir,22539,11168,11371,18418,18062,49.55
Lulu,46625,23215,23410,81447,75644,49.79
Aphelios,17401,8643,8758,4088,4074,49.67
Darius,64016,32080,31936,115985,108003,50.11
Viktor,30678,15299,15379,33565,32816,49.87
Singed,9344,4814,4530,2386,2375,51.52
LeeSin,52997,25605,27392,56143,51798,48.31
Yasuo,66319,33183,33136,101496,94827,50.04
Caitlyn,91571,45795,45776,112834,104171,50.01
Yuumi,27201,13226,13975,28725,27473,48.62
Chogath,39361,20217,19144,20121,19727,51.36
Viego,48498,24267,24231,44980,43629,50.04
Galio,30073,15331,14742,20904,20559,50.98
Sivir,18284,9200,9084,3917,3912,50.32
Pyke,26486,12826,13660,76454,72457,48.43
Ambessa,20644,9694,10950,48504,46722,46.96
Fizz,19529,9694,9835,30602,29858,49.64
Amumu,34138,17726,16412,33199,32070,51.92
Brand,24956,12659,12297,19534,19171,50.73
Morgana,39124,19690,19434,97868,91172,50.33
Irelia,28102,14046,14056,52906,50669,49.98
Ahri,43563,21482,22081,19992,19707,49.31
Jax,31429,15356,16073,19947,19643,48.86
Syndra,20961,10581,10380,14889,14649,50.48
Smolder,20721,9821,10900,4822,4778,47.4
Zyra,32114,16434,15680,28199,27575,51.17
Gragas,18150,8790,9360,6094,6054,48.43
Kayn,46905,23687,23218,38249,37274,50.5
Jinx,96562,49618,46944,47058,45674,51.38
Thresh,45055,22790,22265,20753,20452,50.58
Neeko,14628,7147,7481,5664,5641,48.86
Teemo,41390,21239,20151,82557,77298,51.31
Malzahar,35732,18519,17213,55383,53168,51.83
Samira,22504,11039,11465,37035,35875,49.05
Garen,54554,27880,26674,42002,40847,51.11
Diana,55114,28113,27001,49916,48257,51.01
Sylas,48527,23542,24985,45018,43445,48.51
Kaisa,56913,27592,29321,7541,7497,48.48
Yorick,32608,17341,15267,56209,53728,53.18
Veigar,32754,16648,16106,14602,14351,50.83
Tristana,33329,16405,16924,9111,9028,49.22
Poppy,19722,9972,9750,13798,13565,50.56
Shaco,31692,15591,16101,138533,125352,49.2
Lux,81918,41270,40648,80431,74992,50.38
Braum,18948,9796,9152,9125,9042,51.7
Mordekaiser,42992,22257,20735,79211,74565,51.77
