Name,Games,Wins,Losses,Bans,EffectiveBans,WR
Nautilus,62335,30519,31816,78626,76455,48.96
MasterYi,64600,32700,31900,132253,125330,50.62
Darius,104435,52542,51893,190921,177617,50.31
Sylas,73007,35724,37283,66600,64567,48.93
Shaco,50956,24882,26074,222139,202097,48.83
Vayne,67372,34520,32852,48701,47801,51.24
Fizz,30432,15162,15270,51897,50668,49.82
Chogath,67504,34628,32876,33082,32473,51.3
Mel,112122,53836,58286,520204,423947,48.02
Ashe,110021,54491,55530,48089,46919,49.53
Sett,83879,43456,40423,39076,38348,51.81
Warwick,81008,42164,38844,152525,141297,52.05
Shen,35545,17861,17684,4251,4242,50.25
Tristana,52853,26220,26633,16058,15905,49.61
Blitzcrank,42087,20306,21781,139802,131527,48.25
Malphite,54555,27534,27021,42553,41894,50.47
Ekko,49187,24575,24612,12987,12933,49.96
Hwei,37651,18874,18777,26018,25751,50.13
Lucian,38645,18618,20027,7322,7304,48.18
Maokai,24942,12758,12184,5248,5239,51.15
Leblanc,31306,15225,16081,81826,77116,48.63
None,0,0,0,262039,213753,NaN
LeeSin,79648,38056,41592,76586,71348,47.78
Yorick,51408,27785,23623,86461,83057,54.05
Volibear,60903,30758,30145,35908,35421,50.5
Diana,85126,43141,41985,72640,70496,50.68
Rammus,17351,8837,8514,34476,33963,50.93
Yone,101820,48753,53067,70853,69002,47.88
Yasuo,108838,54537,54301,158371,148616,50.11
Jhin,107975,53954,54021,35570,34877,49.97
Lux,137500,68946,68554,145241,134622,50.14
Mordekaiser,74944,38816,36128,128515,121580,51.79
Qiyana,14912,6905,8007,2509,2496,46.3
Irelia,46484,22941,23543,75929,73087,49.35
Ezreal,127058,61353,65705,52173,50837,48.29
Rell,28320,14125,14195,12529,12458,49.88
Caitlyn,143844,72086,71758,195310,180210,50.11
Morgana,65874,33578,32296,181691,168167,50.97
Kalista,17624,8266,9358,6728,6711,46.9
Shyvana,14034,7239,6795,3670,3668,51.58
Sejuani,23751,11992,11759,3626,3619,50.49
Pantheon,88017,43869,44148,32938,32545,49.84
Singed,15256,8052,7204,4606,4592,52.78
Zed,59988,28737,31251,121221,115561,47.9
Teemo,68639,35713,32926,145032,135654,52.03
Lulu,68514,34054,34460,119620,111675,49.7
Sion,41930,21575,20355,12800,12627,51.45
Urgot,27060,14195,12865,17425,17276,52.46
Amumu,56251,29814,26437,55118,53491,53
Zac,25856,12992,12864,11295,11235,50.25
Poppy,33721,17003,16718,21472,21175,50.42
Twitch,43725,21697,22028,53549,52192,49.62
Fiora,21907,10664,11243,25306,24999,48.68
Katarina,43004,20635,22369,40103,39384,47.98
Viktor,47193,23666,23527,52785,51661,50.15
Braum,30926,15930,14996,14248,14118,51.51
Brand,39091,19654,19437,35125,34503,50.28
Karma,61671,31158,30513,45613,43864,50.52
Jayce,26431,12771,13660,15951,15695,48.32
Kaisa,89143,42843,46300,13351,13287,48.06
Pyke,49453,23272,26181,132679,125931,47.06
Renekton,27798,13785,14013,18143,17985,49.59
Kayn,78564,39384,39180,64279,62562,50.13
Draven,29120,14289,14831,95436,90896,49.07
Yuumi,47385,23421,23964,49473,47416,49.43
Zoe,22215,10427,11788,11291,11228,46.94
Taric,11882,6232,5650,3304,3293,52.45
Akali,58573,28745,29828,74005,71871,49.08
Gragas,32436,15414,17022,10899,10827,47.52
Zyra,47068,24380,22688,45555,44596,51.8
Aurora,43641,21205,22436,48142,47184,48.59
Khazix,29726,14172,15554,18787,18619,47.68
Nocturne,65204,34195,31009,133061,126059,52.44
Gangplank,28407,13946,14461,13663,13504,49.09
Gwen,29357,13953,15404,18890,18621,47.53
Vi,52366,26083,26283,14953,14849,49.81
Soraka,31222,16046,15176,13738,13588,51.39
Samira,42141,20664,21477,65419,63453,49.04
Illaoi,26049,13167,12882,88459,84963,50.55
Jax,49449,24374,25075,30851,30438,49.29
XinZhao,36122,18426,17696,8847,8784,51.01
